# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
1.867913599020784616e+09 6.288288736469959304e+02 5.597904825644025550e+04 1.398102092011871642e+19 2.736986421733403113e+05 2.055189143615406384e+37 1.162102111803944293e-01 2.057455187927361632e-04 3.409395671122969594e+06 9.406981412013188171e+10 5.415922936481991201e+04 3.622339119318757295e+00 1.777898168267090240e+00 4.566524697058350846e+00 6.267062928321910364e-01 1.261969488781027326e+00 3.875115212301116774e-01 
1.933891750455232143e+09 6.510402685817425663e+02 5.584556135696924321e+04 1.398102092011871642e+19 2.667501247206315747e+05 2.093840372257305457e+37 1.156674310576189663e-01 1.998684146751342823e-04 3.336141556480318308e+06 8.941927272248637390e+10 5.509606903301909188e+04 3.493626852742409028e+00 1.814769854874623389e+00 4.593479336919365608e+00 6.245558009399482247e-01 1.260007856464053555e+00 3.883489528412902847e-01 
2.002200371815584421e+09 6.740362109277522222e+02 5.569779147048544110e+04 1.398102092011871642e+19 2.599764828531056992e+05 2.133168293566416584e+37 1.151397148440666818e-01 1.940832812105781305e-04 3.264187236831772607e+06 8.495827458477473450e+10 5.603151108217564615e+04 3.369956817716640352e+00 1.852313152034539057e+00 4.620444706671134050e+00 6.224251979757056130e-01 1.258063325130606813e+00 3.891882037258488913e-01 
2.072921779595369816e+09 6.978444123457437627e+02 5.553584237277082138e+04 1.398102092011871642e+19 2.533733839374455274e+05 2.173184754849589552e+37 1.146268511512404109e-01 1.883917879613516500e-04 3.193515152203090955e+06 8.068140352214961243e+10 5.696478851967473020e+04 3.251114388348340434e+00 1.890532144770479706e+00 4.647412927096548962e+00 6.203147716944503731e-01 1.256136048492329405e+00 3.900288644675143912e-01 
2.146141197858401537e+09 7.224935633233732233e+02 5.535983140594317956e+04 1.398102092011871642e+19 2.469365995394851197e+05 2.213901810832325060e+37 1.141286309743692051e-01 1.827954696365189920e-04 3.124107993445936590e+06 7.658327978843312073e+10 5.789511960858830571e+04 3.136894847397234454e+00 1.929430680915529717e+00 4.674375829963979712e+00 6.182248187567461750e-01 1.254226204616537776e+00 3.908705200785205780e-01 
2.221946860939519405e+09 7.480133677492055995e+02 5.516988960262476030e+04 1.398102092011871642e+19 2.406620030678136682e+05 2.255331727290190020e+37 1.136448458445088183e-01 1.772957277981239345e-04 3.055948695574187208e+06 7.265856648157069397e+10 5.882170724967581918e+04 3.027102875255427872e+00 1.969012371855707544e+00 4.701324842084115829e+00 6.161556515134538614e-01 1.252333992791001549e+00 3.917127512087198449e-01 
2.300430119772921562e+09 7.744345787079062120e+02 5.496616176399663527e+04 1.398102092011871642e+19 2.345455674631457950e+05 2.297486984743812900e+37 1.131752888407616259e-01 1.718938324572039751e-04 2.989020430771549232e+06 6.890197547161941528e+10 5.974374902238811046e+04 2.921552069611739189e+00 2.009280594195250735e+00 4.728251099359326304e+00 6.141075895262888551e-01 1.250459630551100654e+00 3.925551353614862848e-01 
2.381685551976160526e+09 8.017890355397685198e+02 5.474880648593181104e+04 1.398102092011871642e+19 2.285833629329867836e+05 2.340380282218554246e+37 1.127197542344495623e-01 1.665909235945337409e-04 2.923306601119545288e+06 6.530827289091143036e+10 6.066043589728270308e+04 2.820064493578908760e+00 2.050238492391899925e+00 4.755145450538886820e+00 6.120809586219138065e-01 1.248603350740912665e+00 3.933972480918087600e-01 
2.465811075822603703e+09 8.301097022092837960e+02 5.451799613136804692e+04 1.398102092011871642e+19 2.227715547310869442e+05 2.384024541070038154e+37 1.122780360716096187e-01 1.613880126819070319e-04 2.858790831027403940e+06 6.187228423636176300e+10 6.157095516224257881e+04 2.722470249336788939e+00 2.091888982980644851e+00 4.781998370194327386e+00 6.100760956722675044e-01 1.246765398228181665e+00 3.942386643312605354e-01 
2.552908068239516735e+09 8.594307070289286230e+02 5.427391674865843379e+04 1.398102092011871642e+19 2.171064009811811557e+05 2.428432908876616682e+37 1.118499286718450808e-01 1.562859843110705701e-04 2.795456959269460291e+06 5.858889913800049591e+10 6.247449558722802612e+04 2.628607073778394199e+00 2.134234761764707056e+00 4.808800033725417755e+00 6.080933425906968059e-01 1.244946025571373127e+00 3.950789601687588748e-01 
