# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
7.557370637934677404e+01 1.000000000000000000e+04 1.803439570257686800e+16 2.907351116975877209e+34 3.665103633243918524e-02 1.795143886395801060e-07 5.163747423212052672e+04 1.243101959979966516e+06 1.727631776243483728e+03 1.442390934562826944e-02 4.478040879716719758e+01 5.105182474402850445e+00 5.743216695224484525e-01 1.147308126469052114e+00 4.462416340140049620e-01 
7.465203154318240308e+01 9.954061083088736268e+03 1.770528004477206800e+16 2.854293903908498768e+34 3.644526262846932430e-02 1.779003925918092585e-07 5.132380352037137345e+04 1.224442049951006891e+06 1.717401720027425654e+03 1.429113985940549079e-02 4.505683747815204043e+01 5.079534591254789788e+00 5.756965735227893566e-01 1.147220160461940308e+00 4.461690942098445190e-01 
7.374129274353968810e+01 9.908333204586158899e+03 1.738217052756644000e+16 2.802204949487969271e+34 3.623908464300842902e-02 1.763010019722882241e-07 5.101208621416026290e+04 1.206064018813977251e+06 1.707254212412964080e+03 1.415962491769032737e-02 4.533490374354666130e+01 5.053569659184684149e+00 5.770969131370400351e-01 1.147129944504845955e+00 4.460923677599598625e-01 
7.284135240580064874e+01 9.862815395004698075e+03 1.706495754291190000e+16 2.751066583641707531e+34 3.603255637265694034e-02 1.747161161151653109e-07 5.070230829344418453e+04 1.187963765045855893e+06 1.697190880113676712e+03 1.402934847485496489e-02 4.561462864942429007e+01 5.027303593113090052e+00 5.785221122435746377e-01 1.147037242828611081e+00 4.460115562260966726e-01 
7.195208285183356622e+01 9.817506689310463116e+03 1.675353348303363600e+16 2.700861458764090436e+34 3.582561206585779812e-02 1.731456231383647540e-07 5.039446492963416677e+04 1.170137376133266836e+06 1.687218112122237699e+03 1.390030316116698528e-02 4.589601012660119039e+01 5.000718015370911651e+00 5.799736171354915593e-01 1.146942162357936779e+00 4.459262612203097609e-01 
7.107334565260684656e+01 9.772406126902860706e+03 1.644779270392698200e+16 2.651572543831731756e+34 3.561834568250076688e-02 1.715894094312481806e-07 5.008854433908751525e+04 1.152580812933965120e+06 1.677335391802924050e+03 1.377247608077868807e-02 4.617906096036979591e+01 4.973839900555591775e+00 5.814502209667080646e-01 1.146844448301773678e+00 4.458363972659233343e-01 
7.020502004197524570e+01 9.727512751594169458e+03 1.614763148951953600e+16 2.603183118626004794e+34 3.541065065775859944e-02 1.700473808941808287e-07 4.978454056770180614e+04 1.135290350180689711e+06 1.667222648759149251e+03 1.364585770999438182e-02 4.646378586355369578e+01 4.946639709393335416e+00 5.829540420661206701e-01 1.146744236176123310e+00 4.457416925626063176e-01 
6.934697622412691942e+01 9.682825611589285472e+03 1.585294801648780200e+16 2.555676768061082705e+34 3.520255069025034211e-02 1.685194311290524610e-07 4.948244482700720982e+04 1.118262159160950687e+06 1.657080679408749575e+03 1.352043727309992956e-02 4.675019260056592429e+01 4.919124618373760249e+00 5.844850623877174689e-01 1.146641424651762220e+00 4.456419382456050515e-01 
6.849908906408043663e+01 9.638343759465578842e+03 1.556364231971603400e+16 2.509037376615507489e+34 3.499403228345669692e-02 1.670054581018810693e-07 4.918224988734239014e+04 1.101492521004613722e+06 1.647005700803773834e+03 1.339620503091311192e-02 4.703828635860300977e+01 4.891291323753873321e+00 5.860438964348222424e-01 1.146535997448084210e+00 4.455368630621895365e-01 
6.766123613678178117e+01 9.594066252152739253e+03 1.527961625838472200e+16 2.463249122865266340e+34 3.478507158287683088e-02 1.655053653035347059e-07 4.888394843487069011e+04 1.084977794949329691e+06 1.636996883174008872e+03 1.327315082932028698e-02 4.732807388157984718e+01 4.863133702606726061e+00 5.876313450909327329e-01 1.146427954587415643e+00 4.454262198055580213e-01 
