# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 0.1, structure = BellLin, mu = 0.62
1.000000000000000000e+09 3.366477303750272768e+03 3.736115525250276733e+03 1.398102092011871488e+18 1.397238580973638745e+05 4.955583040057713573e+35 1.010920767059968750e-01 3.275606869393425820e-05 1.083051827357627219e+06 4.757551610127757072e+09 8.517226766210183996e+03 7.293621464426686130e-01 4.364944846603607154e+00 5.431155936083717606e+00 5.641328756241034137e-01 1.189825002263968257e+00 4.235021815637729503e-01 
1.035321843295661569e+09 3.485387487531741499e+03 3.684261630187817445e+03 1.398102092011871488e+18 1.361512100385763042e+05 5.045013386226058613e+35 1.010567145297363856e-01 3.126446208916805415e-05 1.055605168580490863e+06 4.425832407553527832e+09 8.531156007843994303e+03 7.075234486776682541e-01 4.436268822800091272e+00 5.447283920541233115e+00 5.631563103790754310e-01 1.188856515562617400e+00 4.240524575560730147e-01 
1.071891319205126405e+09 3.608497798190996946e+03 3.632443432553118328e+03 1.398102092011871488e+18 1.326696011411550571e+05 5.136009448714552695e+35 1.010279966229016696e-01 2.983210945351224793e-05 1.028785583439630922e+06 4.115772197309448719e+09 8.542803360767973572e+03 6.864010201501851149e-01 4.508339159740127222e+00 5.463113533758585660e+00 5.622020250062989000e-01 1.187907551876018486e+00 4.245930991373620955e-01 
1.109752496412069798e+09 3.735956591951439350e+03 3.580689945990955493e+03 1.398102092011871488e+18 1.292767250316722348e+05 5.228598639556132689e+35 1.010058018598118806e-01 2.845723164083367317e-05 1.002581621437568916e+06 3.826087376378729343e+09 8.552191405048883098e+03 6.659687385698225270e-01 4.581159056080457148e+00 5.478644840030235663e+00 5.612697299302294995e-01 1.186977873750613810e+00 4.251241468263253220e-01 
1.148951000187310934e+09 3.867917465251757676e+03 3.529029323492216918e+03 1.398102092011871488e+18 1.259703331734084932e+05 5.322808850704377948e+35 1.009900103302086710e-01 2.713806579797791284e-05 9.769819339015049627e+05 3.555559245599359512e+09 8.559344925106766823e+03 6.462015307253973218e-01 4.654731922327210114e+00 5.493878054867369798e+00 5.603591348425318586e-01 1.186067237902814320e+00 4.256456483241403688e-01 
1.189534067370320797e+09 4.004539439839933038e+03 3.477488840316487767e+03 1.398102092011871488e+18 1.227482334423746215e+05 5.418668462435738078e+35 1.009805053788614543e-01 2.587286780025468941e-05 9.519752762361360947e+05 3.303031644762759209e+09 8.564290806929871906e+03 6.270753275702107832e-01 4.729061384604837492e+00 5.508813758271763561e+00 5.594699379938538053e-01 1.185175395933377063e+00 4.261576581543861098e-01 
1.231550603292826176e+09 4.145987154405255751e+03 3.426094878824181251e+03 1.398102092011871488e+18 1.196082887371872639e+05 5.516206351899000399e+35 1.009771717704536081e-01 2.465991451373598483e-05 9.275505101810686756e+05 3.067408600512017250e+09 8.567057919935825339e+03 6.085670213001113105e-01 4.804151287911012425e+00 5.523452687743589884e+00 5.586018368511839194e-01 1.184302094748825196e+00 4.266602371686559203e-01 
1.275051240713012934e+09 4.292431062978984301e+03 3.374872916750665354e+03 1.398102092011871488e+18 1.165484156220582518e+05 5.615451901814318449e+35 1.009798954384432540e-01 2.349750588808937986e-05 9.036966060489704832e+05 2.847651993829874992e+09 8.567677010080224136e+03 5.906544242431037706e-01 4.880005699530261865e+00 5.537795701986601316e+00 5.577545299275733504e-01 1.183447077145148629e+00 4.271534521855105959e-01 
1.320088400831416845e+09 4.444047640342957493e+03 3.323847517850585973e+03 1.398102092011871488e+18 1.135665830021569273e+05 5.716435009324591407e+35 1.009885655692306233e-01 2.238396687119983890e-05 8.804026449033479439e+05 2.642779251741907120e+09 8.566180603031925784e+03 5.733162296781545431e-01 4.956628911117297420e+00 5.551844000904956999e+00 5.569277058128725422e-01 1.182610082337504975e+00 4.276373755676841637e-01 
1.366716356462004423e+09 4.601019594693605541e+03 3.273042325412686750e+03 1.398102092011871488e+18 1.106608108306267823e+05 5.819186095001809449e+35 1.010030726872229723e-01 2.131764912022387687e-05 8.576578212801706977e+05 2.451861067508975029e+09 8.562602867169307501e+03 5.565319764539720104e-01 5.034025424363369083e+00 5.565598897107055798e+00 5.561210553063303808e-01 1.181790848971762342e+00 4.281120823174963674e-01 
