# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 1, structure = BellLin, mu = 0.62
1.000000000000000000e+09 1.683238651875136384e+03 9.053213841611777752e+02 2.796204184023742976e+18 1.969667142622084357e+05 1.383785721104906527e+36 7.165060863563731119e-02 1.028979300280336243e-05 9.161328151791486889e+05 1.264176093784774065e+09 1.084564559585249071e+03 1.405257639798464409e+00 2.261329268078926535e+00 4.638130296308756506e+00 6.139687417197174923e-01 1.214720441808145424e+00 4.100864896954085070e-01 
1.035321843295661569e+09 1.742693743765870749e+03 8.970383223889535884e+02 2.796204184023742976e+18 1.919413835677254829e+05 1.409080442792705637e+36 7.149539729539934607e-02 9.894052651719097236e-06 8.943048493824356701e+05 1.186594411054196835e+09 1.093181031726758874e+03 1.359470583837665503e+00 2.302237232091639996e+00 4.658046903272572870e+00 6.124255817267957314e-01 1.213244916829668840e+00 4.108322116837332949e-01 
1.071891319205126405e+09 1.804248899095498473e+03 8.886051564341187259e+02 2.796204184023742976e+18 1.870436310146067117e+05 1.434818015931461214e+36 7.134708530523706238e-02 9.509819848017555594e-06 8.729228514709487790e+05 1.113244730390817404e+09 1.101491738013821532e+03 1.315353766923173406e+00 2.343659372623790205e+00 4.677693025084762368e+00 6.109132631356570808e-01 1.211794840487863789e+00 4.115691797528083784e-01 
1.109752496412069798e+09 1.867978295975719675e+03 8.800297933003757862e+02 2.796204184023742976e+18 1.822702456654217967e+05 1.461006193814923565e+36 7.120554676500910618e-02 9.136975817193681478e-06 8.519803083571229363e+05 1.043937571390988946e+09 1.109491200099939306e+03 1.272838991100545547e+00 2.385595886577284386e+00 4.697064366803989977e+00 6.094315700701145033e-01 1.210370058647337599e+00 4.122972292624121349e-01 
1.148951000187310934e+09 1.933958732625878838e+03 8.713201647770763429e+02 2.796204184023742976e+18 1.776180961563446617e+05 1.487652865478900164e+36 7.107065847759747035e-02 8.775388156301071614e-06 8.314707679308592342e+05 9.784887038415366411e+08 1.117174444564205260e+03 1.231861536944120594e+00 2.428046332787125117e+00 4.716155947035726825e+00 6.079804115911957574e-01 1.208970695155177522e+00 4.130160344971757214e-01 
1.189534067370320797e+09 2.002269719919966519e+03 8.624841912814739544e+02 2.796204184023742976e+18 1.730841287815277756e+05 1.514766058077761204e+36 7.094229672030562261e-02 8.424916943456260815e-06 8.113877557495996589e+05 9.167197191337175369e+08 1.124536984958625453e+03 1.192358894591894591e+00 2.471011350470404988e+00 4.734964458232815865e+00 6.065594746072459076e-01 1.207596405182150390e+00 4.137255548037960251e-01 
1.231550603292826176e+09 2.072993577202627876e+03 8.535297851085005050e+02 2.796204184023742976e+18 1.686653656209420878e+05 1.542353939302600257e+36 7.082034045224977481e-02 8.085410959122182135e-06 7.917248422804494621e+05 8.584576330555386543e+08 1.131574806165935797e+03 1.154271552804525092e+00 2.514491314755890272e+00 4.753486443674550976e+00 6.051685011929066604e-01 1.206246980848365347e+00 4.144256782095192548e-01 
1.275051240713012934e+09 2.146215531489492150e+03 8.444648337372485685e+02 2.796204184023742976e+18 1.643589027108373703e+05 1.570424819841684016e+36 7.070467236705463288e-02 7.756709348228754187e-06 7.724756300982115790e+05 8.035350052418353558e+08 1.138284408194846037e+03 1.117542680173345460e+00 2.558486596393457102e+00 4.771718879338208374e+00 6.038072210508352855e-01 1.204922234418375648e+00 4.151162886720994316e-01 
1.320088400831416845e+09 2.222023820171478746e+03 8.352971842679263546e+02 2.796204184023742976e+18 1.601619082559693197e+05 1.598987155884005742e+36 7.059517393238767813e-02 7.438642572023310429e-06 7.536337509280861123e+05 7.517899688768033981e+08 1.144662786492382111e+03 1.082117954204829147e+00 2.602997639270211216e+00 4.789658621837491026e+00 6.024753779796618858e-01 1.203621966549068611e+00 4.157972831628273802e-01 
1.366716356462004423e+09 2.300509797346802770e+03 8.260346314547601878e+02 2.796204184023742976e+18 1.560716208827595983e+05 1.628049551666662261e+36 7.049172916763904451e-02 7.131033131204319599e-06 7.351928660717834719e+05 7.030662232049481869e+08 1.150707415734048936e+03 1.047945442443834363e+00 2.648024968113908528e+00 4.807302913738705108e+00 6.011726988272870775e-01 1.202345967903816204e+00 4.164685719627044813e-01 
