# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 0.01, r = 1.000000e+10 cm, r = 33664.77303750273 rg, structure = BellLin, mu = 0.62
6.165428698798992855e+02 1.000000000000000000e+04 3.592641175954258000e+16 4.111615380207851587e+34 7.358157328012954190e-02 7.839817531424373939e-07 8.942732065539342875e+04 9.401965848387736827e+06 1.555130753228632966e+04 1.715504955601270323e-02 4.951242950184936120e+01 5.924803949323225183e+00 5.343899226572275118e-01 1.149292413843198357e+00 4.474741143309640123e-01 
6.090784031683143667e+02 9.954061083088736268e+03 3.527077877722322000e+16 4.036581149906245948e+34 7.325873198365262517e-02 7.769322852170445032e-07 8.888319361531046161e+04 9.260731975223042071e+06 1.545840515265076647e+04 1.699663929279928223e-02 4.981949988303249910e+01 5.909800901741002477e+00 5.350577250423294018e-01 1.149267286917649677e+00 4.474725962579104710e-01 
6.017033696964983847e+02 9.908333204586158899e+03 3.462711065825776400e+16 3.962916244114899349e+34 7.293593719866194036e-02 7.699450351808954512e-07 8.834236256279316149e+04 9.121604291120167822e+06 1.536604082676117469e+04 1.683970892622017879e-02 5.012843302807880974e+01 5.894606956128949804e+00 5.357364027880572310e-01 1.149241819640575368e+00 4.474703079164245034e-01 
5.944166963538558548e+02 9.862815395004698075e+03 3.399518905189398400e+16 3.890595673577518944e+34 7.261323263688167218e-02 7.630195869145390839e-07 8.780479674936497759e+04 8.984551947176046669e+06 1.527421028987656064e+04 1.668423560198397521e-02 5.043926342525539752e+01 5.879229790302118452e+00 5.364256623171578253e-01 1.149215819354168833e+00 4.474676691829233000e-01 
5.872173369815304795e+02 9.817506689310463116e+03 3.337479959213424400e+16 3.819594905074957494e+34 7.229046509098950579e-02 7.561553614302671372e-07 8.727048489234763838e+04 8.849544559757221490e+06 1.518291283095109975e+04 1.653021133402431814e-02 5.075198778703516922e+01 5.863643824035027485e+00 5.371267960055852164e-01 1.149189388665328826e+00 4.474643804093887955e-01 
5.801042380153431850e+02 9.772406126902860706e+03 3.276573182501746000e+16 3.749889853102962009e+34 7.196772242385092444e-02 7.493518584031726877e-07 8.673940585432405351e+04 8.716552038407046348e+06 1.509214431442625937e+04 1.637762093655148812e-02 5.106662172202763372e+01 5.847863194962745759e+00 5.378392531661594367e-01 1.149162453706545239e+00 4.474604965956592295e-01 
5.730763613526600011e+02 9.727512751594169458e+03 3.216777913722624000e+16 3.681456871701584606e+34 7.164513870374675242e-02 7.426085561495443088e-07 8.621154123454523506e+04 8.585544696675509214e+06 1.500189769450213134e+04 1.622645140944123376e-02 5.138317548916339206e+01 5.831909489445447292e+00 5.385621431594976860e-01 1.149134982354368839e+00 4.474559729506558670e-01 
5.661327048138051623e+02 9.682825611589285472e+03 3.158073868599796000e+16 3.614272746433821529e+34 7.132242583193479368e-02 7.359249793576152957e-07 8.568687170027822140e+04 8.456493659723317251e+06 1.491218093749993750e+04 1.607668836784145391e-02 5.170166385554355060e+01 5.815735688661591851e+00 5.392977373788993001e-01 1.149106974231082656e+00 4.474508430587604280e-01 
5.592722456097054646e+02 9.638343759465578842e+03 3.100441133031513200e+16 3.548314686510661211e+34 7.099972992575094566e-02 7.293006118388715121e-07 8.516537884800403845e+04 8.329370034083972685e+06 1.482298616823141492e+04 1.592831900081079222e-02 5.202209741259850517e+01 5.799365332188330058e+00 5.400450594293740858e-01 1.149078375808768815e+00 4.474450605523698221e-01 
5.524939907285796608e+02 9.594066252152739253e+03 3.043860156335011600e+16 3.483560317059689048e+34 7.067700288825062849e-02 7.227349654263162070e-07 8.464704389263167104e+04 8.204145569263987243e+06 1.473431025080207837e+04 1.578132982375171980e-02 5.234448923326518610e+01 5.782790393611243474e+00 5.408045941863692807e-01 1.149049161438933542e+00 4.474386236645865322e-01 
5.457969598191643854e+02 9.549992150912858051e+03 2.988311744614462400e+16 3.419987671535003917e+34 7.035419158593769762e-02 7.162275423243312241e-07 8.413184978604684875e+04 8.080792424779738300e+06 1.464615571776392062e+04 1.563570868491795732e-02 5.266884900544223314e+01 5.766001863024755814e+00 5.415768873028192765e-01 1.149019330840338249e+00 4.474314669273487532e-01 
5.391801657827126064e+02 9.506120521320448461e+03 2.933777054249746400e+16 3.357575184265416562e+34 7.003145679526104339e-02 7.097778338732091450e-07 8.361977922976200352e+04 7.959282959398783743e+06 1.455851136192034392e+04 1.549144367161599083e-02 5.299518583958194284e+01 5.749025830646238511e+00 5.423608332187793701e-01 1.148988840288988733e+00 4.474235112988346752e-01 
5.326426546090021930e+02 9.462450433242707732e+03 2.880237585504248400e+16 3.296301683138860118e+34 6.970861532222850931e-02 7.033853748812435509e-07 8.311081349801966280e+04 7.839590227050083689e+06 1.447138480045847609e+04 1.534852127394580566e-02 5.332351418543035493e+01 5.731832122382603423e+00 5.431579699863684496e-01 1.148957667962726470e+00 4.474147721598670802e-01 
5.261834781462330284e+02 9.418980960819737447e+03 2.827675176249142400e+16 3.236146382420115261e+34 6.938565624292468426e-02 6.970496478187707944e-07 8.260493943096815201e+04 7.721687557081535459e+06 1.438477049792769867e+04 1.520693235001592362e-02 5.365383559751169429e+01 5.714418357728710873e+00 5.439685601629110634e-01 1.148925860955553491e+00 4.474050334125210249e-01 
5.198016851728415304e+02 9.375711182444940277e+03 2.776071995802304000e+16 3.177088875699727213e+34 6.906266608826706899e-02 6.907702483633780712e-07 8.210213024245154520e+04 7.605548589925870299e+06 1.429866469883647005e+04 1.506665789876055796e-02 5.398618207254782675e+01 5.696799243931454093e+00 5.447920024864454369e-01 1.148893232768281925e+00 4.473946168316087491e-01 
5.134963515573155064e+02 9.332640180745505859e+03 2.725410538879663200e+16 3.119109128971600315e+34 6.873955301893663883e-02 6.845466672578579570e-07 8.160237352084107988e+04 7.491147476207494736e+06 1.421306774858507561e+04 1.492768930433367551e-02 5.432055456743010780e+01 5.678959078228956514e+00 5.456291978618180716e-01 1.148859840442328251e+00 4.473832885387949432e-01 
5.072665546534205419e+02 9.289767042562896677e+03 2.675673619656826800e+16 3.062187473836795084e+34 6.841637081615049854e-02 6.783783979020565506e-07 8.110565571622179414e+04 7.378458607552278787e+06 1.412797568082818361e+04 1.479001737578733433e-02 5.465695550172147676e+01 5.660906264785821485e+00 5.464798970318772708e-01 1.148825702955204919e+00 4.473708441628408417e-01 
5.011113882436564495e+02 9.247090858933566778e+03 2.626844365939248800e+16 3.006304600831550249e+34 6.809305119282207941e-02 6.722650265588542133e-07 8.061195465665651136e+04 7.267456917846426368e+06 1.404338966643501226e+04 1.465362630922482749e-02 5.499540888022036711e+01 5.642629693569591431e+00 5.473447585234516577e-01 1.148790720469661908e+00 4.473574519811245875e-01 
4.950299527127090755e+02 9.204610725069620457e+03 2.578906213438612800e+16 2.951441552876862379e+34 6.776958645783606738e-02 6.662060924414292547e-07 8.012125330787181156e+04 7.158117610649283044e+06 1.395930644239824323e+04 1.451850429281872391e-02 5.533592658893746119e+01 5.624127890748634506e+00 5.482240029370074597e-01 1.148754858104993115e+00 4.473430650868369662e-01 
4.890213563265812127e+02 9.162325740339661934e+03 2.531842900153786000e+16 2.897579718847741525e+34 6.744601699995461663e-02 6.602011224113457643e-07 7.963353632944864512e+04 7.050416216247083619e+06 1.387572339872540579e+04 1.438464083857591246e-02 5.567851645220534351e+01 5.605407266739021566e+00 5.491174741939587323e-01 1.148718098124661413e+00 4.473275642283954245e-01 
4.830847260823336455e+02 9.120235008249721432e+03 2.485638460854304400e+16 2.844700827259808455e+34 6.712226535094215074e-02 6.542496683731267868e-07 7.914878732539083285e+04 6.944328741505928338e+06 1.379264110418758355e+04 1.425202446717296380e-02 5.602318997728628602e+01 5.586454758020235722e+00 5.500259682551059681e-01 1.148680423797282302e+00 4.473108917124765105e-01 
4.772191951280289004e+02 9.078337636424193988e+03 2.440277221664445200e+16 2.792786940071012934e+34 6.679830197967323580e-02 6.483512981000453401e-07 7.866698828157426033e+04 6.839831517266402952e+06 1.371006102559200554e+04 1.412064261388889380e-02 5.636996282280845350e+01 5.567265365985803349e+00 5.509498900735709803e-01 1.148641781763805048e+00 4.472930565476825882e-01 
4.714238930997431680e+02 9.036632736586983810e+03 2.395743794746268800e+16 2.741820446596611795e+34 6.647426097361384956e-02 6.425055671576267572e-07 7.818812106808915269e+04 6.736901031694281846e+06 1.362796951667723806e+04 1.399048305994392803e-02 5.671884989856480530e+01 5.547861411657222241e+00 5.518882928401904753e-01 1.148602081099645345e+00 4.472740522860119139e-01 
4.656979870285330207e+02 8.995119424542615889e+03 2.352023073079557600e+16 2.691784057535049288e+34 6.614995926092240297e-02 6.367119977195179403e-07 7.771217614137424971e+04 6.635514453911826015e+06 1.354638081985720601e+04 1.386153905035011555e-02 5.706984752199402777e+01 5.528211715968991413e+00 5.528429179211507005e-01 1.148561426742888525e+00 4.472535557929396832e-01 
4.600406313453172515e+02 8.953796820157509501e+03 2.309100225337104800e+16 2.642660799102954079e+34 6.582545962794343619e-02 6.309701931228388919e-07 7.723913201339611260e+04 6.535649057859201916e+06 1.346528547599445665e+04 1.373379577510887121e-02 5.742298050750734717e+01 5.508327003638826547e+00 5.538133890704156626e-01 1.148519682244151907e+00 4.472317211904696665e-01 
4.544509991778179483e+02 8.912664047341353580e+03 2.266960690853536800e+16 2.594434007277183619e+34 6.550072839975708272e-02 6.252797148036378276e-07 7.676897394107413129e+04 6.437282539952662773e+06 1.338468429499810918e+04 1.360724308723574617e-02 5.777825779559171337e+01 5.488201416602847438e+00 5.548001856883274518e-01 1.148476834321987328e+00 4.472084319908057881e-01 
4.489282733394293246e+02 8.871720234028462073e+03 2.225590174685842400e+16 2.547087322141824958e+34 6.517574225288881584e-02 6.196401162505526691e-07 7.630168876485116198e+04 6.340392922215270810e+06 1.330457809384501343e+04 1.348187196989264827e-02 5.813568432690276211e+01 5.467830715318927837e+00 5.558037207006311098e-01 1.148432892735827382e+00 4.471835042589178966e-01 
4.434716331327207399e+02 8.830964512159360311e+03 2.184974642764194400e+16 2.500604682338529146e+34 6.485058021295214692e-02 6.140510127715327063e-07 7.583725475274582277e+04 6.244958419338010252e+06 1.322496008657520906e+04 1.335766763841974257e-02 5.849528685921345783e+01 5.447228511872276080e+00 5.568234688442991187e-01 1.148387695462795177e+00 4.471571101592707320e-01 
4.380802922921099025e+02 8.790396017662311351e+03 2.145100317131118400e+16 2.454970319617953620e+34 6.452509888616257683e-02 6.085119671147898810e-07 7.537566100094413559e+04 6.150957875775291584e+06 1.314583902542124815e+04 1.323462231931928947e-02 5.885706675750220995e+01 5.426370291747671715e+00 5.578608936554331210e-01 1.148341312415326110e+00 4.471289979576344442e-01 
4.327534524799228279e+02 8.750013890435060603e+03 2.105953671267678400e+16 2.410168753490794412e+34 6.419934016444973912e-02 6.030225981389287660e-07 7.491688728059708956e+04 6.058370201152935624e+06 1.306720971924287551e+04 1.311272221335468662e-02 5.922104852669833974e+01 5.405263361457799398e+00 5.589158087773564709e-01 1.148293607542660855e+00 4.470992914702834331e-01 
4.274903338996372781e+02 8.709817274326551342e+03 2.067521425504841600e+16 2.366184785976299718e+34 6.387330198533455738e-02 5.975824149083912232e-07 7.446092816154990578e+04 5.967174661329185590e+06 1.298907501751372183e+04 1.299196380765507870e-02 5.958721690072765398e+01 5.383906563458558558e+00 5.599885235199630884e-01 1.148244704014371509e+00 4.470674707768627076e-01 
4.222901646921031329e+02 8.669805317118783933e+03 2.029790542518643600e+16 2.323003496446691312e+34 6.354693095810486081e-02 5.921910950872578526e-07 7.400775933796132449e+04 5.877350944208997302e+06 1.291143347660963991e+04 1.287233012845502567e-02 5.995561003253497034e+01 5.362291544673114529e+00 5.610796502722998902e-01 1.148194414658445517e+00 4.470338687890427765e-01 
4.171521737144823305e+02 8.629977170508787822e+03 1.992748222907593600e+16 2.280610236565703096e+34 6.322028308652480333e-02 5.868482076653298729e-07 7.355736829019925790e+04 5.788878852172125131e+06 1.283428379389405745e+04 1.275381287420130488e-02 6.032623223567671999e+01 5.340427534494790685e+00 5.621889389277868743e-01 1.148142716943678643e+00 4.469982729604320415e-01 
4.120756150676405127e+02 8.590331990090568070e+03 1.956381900850680000e+16 2.238990625319366289e+34 6.289326561523733705e-02 5.815533586897526614e-07 7.310974164054486027e+04 5.701738732746826485e+06 1.275763216963743253e+04 1.263640259315657044e-02 6.069909290060935803e+01 5.318298748112235685e+00 5.633174521630360809e-01 1.148089615971728206e+00 4.469605465625249852e-01 
4.070597387037287263e+02 8.550868935337273797e+03 1.920679239844751200e+16 2.198130544137634207e+34 6.256590147017852821e-02 5.763061257844004484e-07 7.266486791572015500e+04 5.615911043578797020e+06 1.268147685302639911e+04 1.252009154128026248e-02 6.107419419913786385e+01 5.295908809756866731e+00 5.644652510087960762e-01 1.148035111041031175e+00 4.469204391273582377e-01 
4.021038056854276306e+02 8.511587169583317518e+03 1.885628128519562800e+16 2.158016132104892702e+34 6.223817644061131749e-02 5.711061820413325647e-07 7.222272546574477747e+04 5.531376626569638029e+06 1.260582184733280519e+04 1.240486474969719997e-02 6.145156940428897485e+01 5.273255885127142939e+00 5.656326457874831792e-01 1.147979035977554574e+00 4.468781805883076386e-01 
3.972070911820332526e+02 8.472485860006661824e+03 1.851216676529273600e+16 2.118633781257963026e+34 6.191004710378580217e-02 5.659531083171288247e-07 7.178330521346403111e+04 5.448116632321296260e+06 1.253066993364160771e+04 1.229071587036990008e-02 6.183121586291743910e+01 5.250332255343360011e+00 5.668203234784399136e-01 1.147921445277452657e+00 4.468334346077208474e-01 
3.923688694504547243e+02 8.433564177611189734e+03 1.817433210518925600e+16 2.079970131969920346e+34 6.158154270110933332e-02 5.608465047146375883e-07 7.134659477931413858e+04 5.366112374172531068e+06 1.245601938106164380e+04 1.217763652268691495e-02 6.221313930183285379e+01 5.227142802151298007e+00 5.680282896053950870e-01 1.147862309919138513e+00 4.467859966369315261e-01 
3.875884326333222134e+02 8.394821297209071417e+03 1.784266270164450000e+16 2.042012068418061227e+34 6.125260936297718950e-02 5.557860328495837686e-07 7.091257708794405335e+04 5.285345629796982743e+06 1.238188143921598567e+04 1.206561469138481453e-02 6.259736218741218039e+01 5.203678709047279582e+00 5.692572738828374224e-01 1.147801545609786089e+00 4.467359103810867871e-01 
3.828650853717142581e+02 8.356256397403332812e+03 1.751704604285056800e+16 2.004746714134706678e+34 6.092317812909787966e-02 5.507713318925189990e-07 7.048123902024400013e+04 5.205798482471978292e+06 1.230827160113009450e+04 1.195464098981029351e-02 6.298389609362183705e+01 5.179928303464953920e+00 5.705081991596711033e-01 1.147739144240324638e+00 4.466830468038362478e-01 
3.781980990681337857e+02 8.317868660570378779e+03 1.719737167026451200e+16 1.968161427639068731e+34 6.059345167056611609e-02 5.458019915317427730e-07 7.005256683413492283e+04 5.127452722909285687e+06 1.223515330316229301e+04 1.184470689129072003e-02 6.337274814694070102e+01 5.155926189588943664e+00 5.717794432330144394e-01 1.147674960995587412e+00 4.466272122265678157e-01 
3.735868242518205875e+02 8.279657272842696329e+03 1.688353114113798400e+16 1.932243798148935841e+34 6.026316706765789954e-02 5.408776957812122004e-07 6.962654880679136841e+04 5.050291397767676041e+06 1.216258038879562264e+04 1.173580294853080429e-02 6.376393150665555964e+01 5.131627685773820780e+00 5.730737697635501782e-01 1.147609093265792080e+00 4.465682868765735170e-01 
3.690305642309310770e+02 8.241621424091608787e+03 1.657541799173039200e+16 1.896981641370586326e+34 5.993242156437669776e-02 5.359980704258983523e-07 6.920317122219201701e+04 4.974297069785969332e+06 1.209053966075218523e+04 1.162792006591584042e-02 6.415745699215987941e+01 5.107049552725375641e+00 5.743905545676948332e-01 1.147541437119939944e+00 4.465061196795264697e-01 
3.645286521355126865e+02 8.203760307910057236e+03 1.627292770119298400e+16 1.862362995365484066e+34 5.960117107968094380e-02 5.311627823792936045e-07 6.878241994473707746e+04 4.899452867410647683e+06 1.201904843153393267e+04 1.152104814948580469e-02 6.455334116605307315e+01 5.082184583076757356e+00 5.757305085835788816e-01 1.147471943376507930e+00 4.464406358262662522e-01 
