# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 0.5, structure = BellLin, mu = 0.62
1.000000000000000000e+09 3.366477303750272768e+03 1.063613862516986501e+03 1.398102092011871488e+18 1.397238580973638745e+05 4.955583040057713573e+35 8.234218885238339669e-02 1.112934711159713007e-05 7.580004505011807196e+05 1.131310054902901888e+09 2.042720960729403032e+03 7.359121584362512403e-01 3.677238824974933706e+00 5.129096024782078267e+00 5.803124636258543134e-01 1.189813269385237016e+00 4.233324141866152135e-01 
1.035321843295661569e+09 3.485387487531741499e+03 1.048975691937717329e+03 1.398102092011871488e+18 1.361512100385763042e+05 5.045013386226058613e+35 8.230271389927344694e-02 1.062456377825453297e-05 7.387951799373063259e+05 1.052634637970347524e+09 2.046117186758569687e+03 7.137536249166612778e-01 3.736974083977672390e+00 5.143677359720101983e+00 5.793416978490723013e-01 1.188827008828108323e+00 4.238835816077409224e-01 
1.071891319205126405e+09 3.608497798190996946e+03 1.034340149905119915e+03 1.398102092011871488e+18 1.326696011411550571e+05 5.136009448714552695e+35 8.226871974449267988e-02 1.013966550547617588e-05 7.200281961303461576e+05 9.790742477340785265e+08 2.048961246757701247e+03 6.923284160399105769e-01 3.797332338367569449e+00 5.157957951962973020e+00 5.783946486966617950e-01 1.187860921807728953e+00 4.244249894590825800e-01 
1.109752496412069798e+09 3.735956591951439350e+03 1.019715806901056226e+03 1.398102092011871488e+18 1.292767250316722348e+05 5.228598639556132689e+35 8.224010385255957345e-02 9.674069536093084554e-06 7.016915379740499193e+05 9.103280806135840416e+08 2.051258684111405273e+03 6.716094334626566686e-01 3.858316181811114021e+00 5.171938365477629418e+00 5.774709881253421440e-01 1.186914752994957745e+00 4.249566715713182230e-01 
1.148951000187310934e+09 3.867917465251757676e+03 1.005110982145932780e+03 1.398102092011871488e+18 1.259703331734084932e+05 5.322808850704377948e+35 8.221676315505616062e-02 9.227196543820870845e-06 6.837773231781993527e+05 8.461102586884801388e+08 2.053015572678443277e+03 6.515707569549761269e-01 3.919928032684503183e+00 5.185618791045395248e+00 5.765704346452757978e-01 1.185988313337592581e+00 4.254786038059533704e-01 
1.189534067370320797e+09 4.004539439839933038e+03 9.905337310086791831e+02 1.398102092011871488e+18 1.227482334423746215e+05 5.418668462435738078e+35 8.219859738079841882e-02 8.798473361070434972e-06 6.662777132543198531e+05 7.861494330473930836e+08 2.054238507295458930e+03 6.321873637365580390e-01 3.982171286440218338e+00 5.199000453856369219e+00 5.756926156808448436e-01 1.185081243142767971e+00 4.259909164298431028e-01 
1.231550603292826176e+09 4.145987154405255751e+03 9.759918494254087591e+02 1.398102092011871488e+18 1.196082887371872639e+05 5.516206351899000399e+35 8.218550925397127838e-02 8.387331866639096857e-06 6.491849539639800787e+05 7.301881298022478819e+08 2.054934558211994954e+03 6.134353293629931647e-01 4.045049137752497970e+00 5.212084588678623120e+00 5.748371876707628614e-01 1.184193262615544473e+00 4.264936737143560364e-01 
1.275051240713012934e+09 4.292431062978984301e+03 9.614928670107512971e+02 1.398102092011871488e+18 1.165484156220582518e+05 5.615451901814318449e+35 8.217740088061087356e-02 7.993210463523595452e-06 6.324913641763161868e+05 6.779822812963260412e+08 2.055111243706969162e+03 5.952916996326960142e-01 4.108564969366794273e+00 5.224872322226912225e+00 5.740038210280163922e-01 1.183324088410622643e+00 4.269869456173077671e-01 
1.320088400831416845e+09 4.444047640342957493e+03 9.470440450404131525e+02 1.398102092011871488e+18 1.135665830021569273e+05 5.716435009324591407e+35 8.217417712863722690e-02 7.615554813978430488e-06 6.161893375352262519e+05 6.293007118291118145e+08 2.054776503255363423e+03 5.777344480413278971e-01 4.172722354502847786e+00 5.237365093660605986e+00 5.731921772356630695e-01 1.182473434720222816e+00 4.274708077558758146e-01 
1.366716356462004423e+09 4.601019594693605541e+03 9.326523746995856072e+02 1.398102092011871488e+18 1.106608108306267823e+05 5.819186095001809449e+35 8.217574583070869076e-02 7.253818514982707233e-06 6.002713441295346711e+05 5.839246278774147034e+08 2.053938675694034828e+03 5.607424351674060725e-01 4.237525059247678527e+00 5.249564675492491617e+00 5.724019078545382611e-01 1.181641013864963785e+00 4.279453411183253841e-01 
1.414991297434578896e+09 4.763536087817661610e+03 9.183245750631352848e+02 1.398102092011871488e+18 1.078291688465478655e+05 5.923736112011082608e+35 8.218201416413165039e-02 6.907463710503993291e-06 5.847299321355080465e+05 5.416471137979288101e+08 2.052606463966579668e+03 5.442953701890795859e-01 4.302977042833546761e+00 5.261472704134553702e+00 5.716326797370452351e-01 1.180826535872407490e+00 4.284106310908093462e-01 
1.464971398307287931e+09 4.931792963044786120e+03 9.040670935940363506e+02 1.398102092011871488e+18 1.050697753431531455e+05 6.030116555435050793e+35 8.219289204616257727e-02 6.575961650514579954e-06 5.695577293693993706e+05 5.022726349489691257e+08 2.050788909420597975e+03 5.283737736330658130e-01 4.369082461179219834e+00 5.273091106801330419e+00 5.708841519566146827e-01 1.180029709869468313e+00 4.288667677856963789e-01 
1.516716888470924139e+09 5.105992981252100435e+03 8.898861058241717501e+02 1.398102092011871488e+18 1.023807959656125895e+05 6.138359471761671456e+35 8.220829224847674144e-02 6.258793184495204213e-06 5.547474447681604652e+05 4.656165483207737803e+08 2.048495364543421147e+03 5.129589424184221036e-01 4.435845665894055934e+00 5.284422110523346205e+00 5.701559754546455805e-01 1.179250244062032715e+00 4.293138453339304661e-01 
1.570290124729377508e+09 5.286346065204634215e+03 8.757875159614400218e+02 1.398102092011871488e+18 9.976044253772433149e+04 6.248497468537984420e+35 8.222812689466885150e-02 5.955449208652624030e-06 5.402918698873008834e+05 4.315046231769754887e+08 2.045735465956687449e+03 4.980329160106078956e-01 4.503271206848860508e+00 5.295467786354184803e+00 5.694478171461851979e-01 1.178487845857330907e+00 4.297519614562583801e-01 
1.625755666443793535e+09 5.473069552526430016e+03 8.617769586024187447e+02 1.398102092011871488e+18 9.720697191685246071e+04 6.360563724192958829e+35 8.225231083814517341e-02 5.665431052936352982e-06 5.261838802315909415e+05 3.997725712263630033e+08 2.042519107297402797e+03 4.835784443572516689e-01 4.571363832427457474e+00 5.306230476625422021e+00 5.687593371010596366e-01 1.177742222659071025e+00 4.301812173837870623e-01 
1.683180353330955029e+09 5.666388457607024975e+03 8.478598006381682808e+02 1.398102092011871488e+18 9.471868487647271832e+04 6.474591998032303588e+35 8.228076161182326653e-02 5.388250819231476467e-06 5.124164365591967944e+05 3.702655879940059185e+08 2.038856411696795476e+03 4.695789572024250402e-01 4.640128490360173608e+00 5.316712783996460523e+00 5.680901891478752352e-01 1.177013082236024077e+00 4.306017175754481840e-01 
