# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 33664.77303750273 rg, structure = BellLin, mu = 0.62
1.699311471347066060e+01 1.000000000000000000e+04 3.592641175954258000e+16 4.111615380207851587e+34 3.674411113499197190e-02 3.647615452465250330e-08 3.221668867335998584e+04 1.575913742450568825e+05 2.598580307367173532e+02 1.723935166117399748e-02 2.970960158695178066e+01 4.100762930405489115e+00 6.339371465418371931e-01 1.141266117383999301e+00 4.393569413821644676e-01 
1.678207865392215581e+01 9.954061083088736268e+03 3.527077877722322000e+16 4.036581149906245948e+34 3.646332314732278479e-02 3.615640644785947925e-08 3.202453229477363129e+04 1.552782225701614225e+05 2.583468921879082814e+02 1.708245959821532226e-02 2.989081951765973244e+01 4.063186491393501854e+00 6.364645957741018600e-01 1.141020346385400064e+00 4.389599256728661802e-01 
1.657348951334038034e+01 9.908333204586158899e+03 3.462711065825776400e+16 3.962916244114899349e+34 3.618157329873444850e-02 3.583994161536619334e-08 3.183374262244916827e+04 1.530021345440772711e+05 2.568548985602456582e+02 1.692712039774089960e-02 3.007303902757394454e+01 4.025228959068879675e+00 6.390417332562697839e-01 1.140772277024929560e+00 4.385449973426136516e-01 
1.636732011671937670e+01 9.862815395004698075e+03 3.399518905189398400e+16 3.890595673577518944e+34 3.589884907056004049e-02 3.552675727156347754e-08 3.164432111011567758e+04 1.507626793805742054e+05 2.553833036913084982e+02 1.677332085185478244e-02 3.025626493916731619e+01 3.986890877212282636e+00 6.416696332014538706e-01 1.140522260178580050e+00 4.381115003769093241e-01 
1.616354421819214338e+01 9.817506689310463116e+03 3.337479959213424400e+16 3.819594905074957494e+34 3.561513803226502156e-02 3.521685266160806754e-08 3.145626933046269914e+04 1.485594389421582746e+05 2.539336924633107913e+02 1.662104702629730799e-02 3.044050368273586571e+01 3.948173018355832564e+00 6.443493989681069456e-01 1.140270701224980421e+00 4.376588059759194960e-01 
1.596213451875587097e+01 9.772406126902860706e+03 3.276573182501746000e+16 3.749889853102962009e+34 3.533044232642842952e-02 3.491022743352213220e-08 3.126958751641771232e+04 1.463919939367253683e+05 2.525076637354004561e+02 1.647028270948985157e-02 3.062576556079008938e+01 3.909079784793990875e+00 6.470818491692180707e-01 1.140017866708463501e+00 4.371863725322886474e-01 
1.576306805619066509e+01 9.727512751594169458e+03 3.216777913722624000e+16 3.681456871701584606e+34 3.504472525424427026e-02 3.460688435260571040e-08 3.108428053863835885e+04 1.442599632017793483e+05 2.511079144112340771e+02 1.632101758331110791e-02 3.081205272270701911e+01 3.869606608268727932e+00 6.498686602942658208e-01 1.139764495380345410e+00 4.366933867290353488e-01 
1.556631734887154117e+01 9.682825611589285472e+03 3.158073868599796000e+16 3.614272746433821529e+34 3.475800450887998883e-02 3.430682473125304691e-08 3.090034800361757880e+04 1.421629378934601264e+05 2.497367170718594025e+02 1.617323371874070451e-02 3.099937917337896565e+01 3.829761883034793257e+00 6.527103892442485122e-01 1.139510792803366757e+00 4.361793607418860685e-01 
1.537186125698609374e+01 9.638343759465578842e+03 3.100441133031513200e+16 3.548314686510661211e+34 3.447023738829806117e-02 3.401005739021639217e-08 3.071779393896853799e+04 1.401005638269147894e+05 2.482950170279527526e+02 1.602691664430888618e-02 3.118775528632392380e+01 3.789540354285387380e+00 6.556088708018579236e-01 1.139257581216756243e+00 4.356436681287348400e-01 
1.517967764884152970e+01 9.594066252152739253e+03 3.043860156335011600e+16 3.483560317059689048e+34 3.418140776689287258e-02 3.371659217567357355e-08 3.053662026230638730e+04 1.380724836159643310e+05 2.467984226940420740e+02 1.588204810911189244e-02 3.137719828741659001e+01 3.748943194917218502e+00 6.585654386559512963e-01 1.139005530207519712e+00 4.350858573815200026e-01 
