# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 0.01, r = 1.000000e+10 cm, r = 3366.4773037502728 rg, structure = BellLin, mu = 0.62
2.227006825821654559e+02 1.000000000000000000e+04 3.668230432466068000e+15 1.300206946403600972e+34 2.130628990191783811e-02 9.579242975122022136e-07 7.881647064793304889e+04 1.012489826849202067e+07 9.386056616687528731e+03 9.611851139272140077e-03 8.273104085831353416e+01 5.678550132112804683e+00 5.455725755732030446e-01 1.148425569650699307e+00 4.476034020415641801e-01 
2.199910014848303774e+02 9.954061083088736268e+03 3.601287680866792000e+15 1.276479039380531251e+34 2.120584399192193201e-02 9.492418067835525744e-07 7.833587932685378473e+04 9.971949618388384581e+06 9.329441508679146864e+03 9.523412278660076113e-03 8.324224842656624901e+01 5.660140735648059973e+00 5.464400240739373249e-01 1.148393461165944984e+00 4.475878719793753291e-01 
2.173139324453618997e+02 9.908333204586158899e+03 3.535566589704101000e+15 1.253184150788293005e+34 2.110533912738701140e-02 9.406375636647257664e-07 7.785821815648453776e+04 9.821306710839146748e+06 9.273172209296319124e+03 9.435791542516776959e-03 8.375658882946123640e+01 5.641501836222547972e+00 5.473220212726352951e-01 1.148360381188191282e+00 4.475714739605209380e-01 
2.146690751756115958e+02 9.862815395004698075e+03 3.471044864492265000e+15 1.230314378330193858e+34 2.100481702882830634e-02 9.321107541825157830e-07 7.738348023763303354e+04 9.672935056699918583e+06 9.217242429711328441e+03 9.348986428468569754e-03 8.427404112490889077e+01 5.622654790928480750e+00 5.482177188490637842e-01 1.148326424688156377e+00 4.475537167045353093e-01 
2.120560421387903318e+02 9.817506689310463116e+03 3.407700617604948500e+15 1.207861963921150179e+34 2.090422266224147008e-02 9.236608613613137094e-07 7.691163889912022569e+04 9.526801202776474878e+06 9.161655170557516612e+03 9.262984356059102489e-03 8.479466354733135347e+01 5.603570727217376479e+00 5.491286355681574971e-01 1.148291423444534942e+00 4.475350040433506704e-01 
2.094744469139630496e+02 9.772406126902860706e+03 3.345512360850403500e+15 1.185819291055958589e+34 2.080355641010783393e-02 9.152871529037455396e-07 7.644268364975487930e+04 9.382871906506516039e+06 9.106411709501033329e+03 9.177780866617557196e-03 8.531845138545897100e+01 5.584249166591308544e+00 5.500549854987655252e-01 1.148255436934564111e+00 4.475150248528737551e-01 
2.069239036759477983e+02 9.727512751594169458e+03 3.284458998181975000e+15 1.164178882225529005e+34 2.070284050649446109e-02 9.069890228599502493e-07 7.597659355105114810e+04 9.241114350977672264e+06 9.051505564913459239e+03 9.093366543859079595e-03 8.584543984101894409e+01 5.564702196468852335e+00 5.509963221417755186e-01 1.148218338595840882e+00 4.474939139929302034e-01 
2.044040376090502775e+02 9.682825611589285472e+03 3.224519818541743000e+15 1.142933396380309058e+34 2.060204548984189907e-02 8.987657675677327180e-07 7.551335820210873499e+04 9.101496419686507434e+06 8.996942307444240214e+03 9.009736830500218036e-03 8.637562548229746540e+01 5.544913373215800689e+00 5.519536507707025752e-01 1.148180198659547901e+00 4.474713713902703782e-01 
2.019144707150084344e+02 9.638343759465578842e+03 3.165674488834778000e+15 1.122075626440003164e+34 2.050120082927759171e-02 8.906167792504235762e-07 7.505295760831984808e+04 8.963986208848411217e+06 8.942714320532066267e+03 8.926882844482134094e-03 8.690904054465254092e+01 5.524898688360216248e+00 5.529263363243771545e-01 1.148140892340251629e+00 4.474474928907048454e-01 
1.994548382699740898e+02 9.594066252152739253e+03 3.107903047031484000e+15 1.101598496848693405e+34 2.040026799454119563e-02 8.825414215290024958e-07 7.459537786847671669e+04 8.828552657485447824e+06 8.888825721295035692e+03 8.844798260507689275e-03 8.744569721921355665e+01 5.504637087598376333e+00 5.539156165743229776e-01 1.148100436973054972e+00 4.474221460755681834e-01 
1.970247735229224020e+02 9.549992150912858051e+03 3.051185895396002500e+15 1.081495061174641884e+34 2.029925386563761341e-02 8.745390795508737425e-07 7.414060186962009175e+04 8.695164926273524761e+06 8.835276565827929517e+03 8.763475473627544907e-03 8.798561886279377120e+01 5.484132223047381238e+00 5.549214919754236197e-01 1.148058760558512192e+00 4.473953189833347888e-01 
1.946239151184375089e+02 9.506120521320448461e+03 2.995503793837994500e+15 1.061758499753825932e+34 2.019816325867875711e-02 8.666091139547060956e-07 7.368861525830016762e+04 8.563792643366307020e+06 8.782065137316327309e+03 8.682908188921287934e-03 8.852881817010855059e+01 5.463386470643973425e+00 5.559440399916177888e-01 1.148015837992201860e+00 4.473668817158112931e-01 
1.922519084704622969e+02 9.462450433242707732e+03 2.940837853385944000e+15 1.042382117376544842e+34 2.009697477404970983e-02 8.587509442371419812e-07 7.323940087438382034e+04 8.434406071053352207e+06 8.729193519918659149e+03 8.603088609072813073e-03 8.907532193277280896e+01 5.442388268699946074e+00 5.569840375979520086e-01 1.147971610725308178e+00 4.473368499327318726e-01 
1.899083989309797573e+02 9.418980960819737447e+03 2.887169529779397000e+15 1.023359341016184920e+34 1.999570459274570972e-02 8.509639163421347744e-07 7.279294647484873713e+04 8.306975687873680145e+06 8.676659333642481215e+03 8.524011489554840851e-03 8.962513442468963376e+01 5.421146034170727823e+00 5.580412716112915783e-01 1.147926071694541195e+00 4.473049965553312357e-01 
1.875930399647969864e+02 9.375711182444940277e+03 2.834480617178252000e+15 1.004683717599472283e+34 1.989433275592048661e-02 8.432474809520105060e-07 7.234923349457862787e+04 8.181472640137542970e+06 8.624464666271689566e+03 8.445668389162211062e-03 9.017828975488150434e+01 5.399649127770740797e+00 5.591164826202545957e-01 1.147879131483755977e+00 4.472714082547429859e-01 
1.853054907874676474e+02 9.332640180745505859e+03 2.782753241986840000e+15 9.863489118174145798e+33 1.979283670628421282e-02 8.356010383793777436e-07 7.190824874415123486e+04 8.057868554880851880e+06 8.572615351028327495e+03 8.368053342093119754e-03 9.073480035063955995e+01 5.377885072748693318e+00 5.602105454327925838e-01 1.147830795523589353e+00 4.472359356183374102e-01 
1.830453990924532661e+02 9.289767042562896677e+03 2.731969856790612000e+15 9.683487039761543067e+33 1.969128885571079166e-02 8.280239354814398218e-07 7.146997836181629100e+04 7.936134822436628863e+06 8.521096177948069453e+03 8.291160754004071529e-03 9.129467440393887046e+01 5.355893087316669465e+00 5.613216427819794907e-01 1.147780959712223048e+00 4.471983875220255089e-01 
1.808124435825359910e+02 9.247090858933566778e+03 2.682113234403643500e+15 9.506769878871030864e+33 1.958959433343614859e-02 8.205156492349388128e-07 7.103440866593336978e+04 7.816244454545836896e+06 8.469928671604302508e+03 8.214983862878763587e-03 9.185793324975055896e+01 5.333621489794903248e+00 5.624527036087764165e-01 1.147729686329726606e+00 4.471586984094055861e-01 
1.786062843817416024e+02 9.204610725069620457e+03 2.633166462024594500e+15 9.333277687955174608e+33 1.948779512308663336e-02 8.130755838129625726e-07 7.060152415047850809e+04 7.698169902203281410e+06 8.419103307202818542e+03 8.139516076706748010e-03 9.242459595826160523e+01 5.311093160047195560e+00 5.636027652406039312e-01 1.147676865074679808e+00 4.471167824457076279e-01 
1.764265959474916770e+02 9.162325740339661934e+03 2.585112935499438500e+15 9.162951613469188718e+33 1.938587175117552353e-02 8.057031704181079892e-07 7.017131180984174716e+04 7.581884489273908548e+06 8.368628138071011563e+03 8.064751474441791620e-03 9.299467626040714663e+01 5.288297386550015133e+00 5.647726422278672720e-01 1.147622489000497348e+00 4.470724904049690474e-01 
