# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.1, structure = BellLin, mu = 0.62
1.000000000000000000e+09 1.683238651875136384e+03 5.498745120591504929e+03 2.796204184023742976e+18 1.969667142622084357e+05 1.383785721104906527e+36 9.595720523278374048e-02 4.869903416062458111e-05 1.526876853179727914e+06 9.971646060558660507e+09 8.377428257857929566e+03 1.374608297225264453e+00 2.875721649103167188e+00 5.055712953954196287e+00 5.883498612041411224e-01 1.213984386020072082e+00 4.105225595728875243e-01 
1.035321843295661569e+09 1.742693743765870749e+03 5.446387666181564782e+03 2.796204184023742976e+18 1.919413835677254829e+05 1.409080442792705637e+36 9.577211067714647141e-02 4.679786207472481024e-05 1.490445195782764815e+06 9.353723334896450043e+09 8.442587669920425469e+03 1.330482896828236727e+00 2.928375279648979923e+00 5.077664809065510099e+00 5.868648604721724560e-01 1.212572773571801044e+00 4.112604979380369286e-01 
1.071891319205126405e+09 1.804248899095498473e+03 5.393224556221231978e+03 2.796204184023742976e+18 1.870436310146067117e+05 1.434818015931461214e+36 9.559591442927421745e-02 4.495425219721478909e-05 1.454761921185542597e+06 8.770113178737920761e+09 8.505433663365940447e+03 1.287930035273440854e+00 2.981692266875256347e+00 5.099369298880410462e+00 5.854066402605226926e-01 1.211184259050046785e+00 4.119899276252664833e-01 
1.109752496412069798e+09 1.867978295975719675e+03 5.339300639171236980e+03 2.796204184023742976e+18 1.822702456654217967e+05 1.461006193814923565e+36 9.542846442867541912e-02 4.316741706375613869e-05 1.419815787582097808e+06 8.219219142185730934e+09 8.565924595360613239e+03 1.246887337061357792e+00 3.035673689824827992e+00 5.120821789266288171e+00 5.839749930754747353e-01 1.209818555228991066e+00 4.127108154277731589e-01 
1.148951000187310934e+09 1.933958732625878838e+03 5.284660921705355577e+03 2.796204184023742976e+18 1.776180961563446617e+05 1.487652865478900164e+36 9.526961089423834073e-02 4.143651809693270696e-05 1.385595666480708867e+06 7.699495447800650597e+09 8.624022347504578647e+03 1.207295465225121545e+00 3.090319972578219332e+00 5.142016990564415302e+00 5.825698139759885041e-01 1.208475611779241676e+00 4.134229953038065508e-01 
1.189534067370320797e+09 2.002269719919966519e+03 5.229350442486840620e+03 2.796204184023742976e+18 1.730841287815277756e+05 1.514766058077761204e+36 9.511920448034139053e-02 3.976067804701983582e-05 1.352090495695223100e+06 7.209448394219894409e+09 8.679692468220280716e+03 1.169097610443258217e+00 3.145631577888368557e+00 5.162949747854932880e+00 5.811909932760176423e-01 1.207155369159153890e+00 4.141263119476865651e-01 
1.231550603292826176e+09 2.072993577202627876e+03 5.173414189275620629e+03 2.796204184023742976e+18 1.686653656209420878e+05 1.542353939302600257e+36 9.497709838521771475e-02 3.813898417837421347e-05 1.319289277299934532e+06 6.747636049188630104e+09 8.732904305786183613e+03 1.132239367895638615e+00 3.201609038890570691e+00 5.183615297146850764e+00 5.798384008665002920e-01 1.205857751926760368e+00 4.148206248916062600e-01 
1.275051240713012934e+09 2.146215531489492150e+03 5.116897018754213605e+03 2.796204184023742976e+18 1.643589027108373703e+05 1.570424819841684016e+36 9.484314873937954582e-02 3.657049119051980078e-05 1.287181077277419623e+06 6.312667803601749420e+09 8.783630904377563638e+03 1.096668630854485293e+00 3.258252969012170652e+00 5.204009309351617318e+00 5.785118846540123760e-01 1.204582669436191855e+00 4.155058080664025821e-01 
1.320088400831416845e+09 2.222023820171478746e+03 5.059843577596418982e+03 2.796204184023742976e+18 1.601619082559693197e+05 1.598987155884005742e+36 9.471721172273826761e-02 3.505422413911047020e-05 1.255755025445944397e+06 5.903203837517000198e+09 8.831848828129703179e+03 1.062335489124573762e+00 3.315564071481961861e+00 5.224127573626565990e+00 5.772112888329609115e-01 1.203330016317158524e+00 4.161817492365270099e-01 
1.366716356462004423e+09 2.300509797346802770e+03 5.002298227935440082e+03 2.796204184023742976e+18 1.560716208827595983e+05 1.628049551666662261e+36 9.459914597311333551e-02 3.358918134411745666e-05 1.225000315617643995e+06 5.517954502467313766e+09 8.877538360809876394e+03 1.029192132033130980e+00 3.373543148567688110e+00 5.243966256908998425e+00 5.759364400598416811e-01 1.202099673343673292e+00 4.168483496090027995e-01 
1.414991297434578896e+09 2.381768043908830805e+03 4.944304975059147182e+03 2.796204184023742976e+18 1.520853479325635126e+05 1.657620762066832836e+36 9.448881349891981307e-02 3.217433727458715213e-05 1.194906205997526413e+06 5.155679625254759789e+09 8.920683521726699837e+03 9.971927557903172978e-01 3.432191110482630148e+00 5.263522004314218350e+00 5.746871427372814978e-01 1.200891508180984335e+00 4.175055233938932964e-01 
1.464971398307287931e+09 2.465896481522393060e+03 4.885907396621351836e+03 2.796204184023742976e+18 1.482004637942326663e+05 1.687709695239120790e+36 9.438607612683203030e-02 3.080864539846847426e-05 1.165462019821858034e+06 4.815187738308870316e+09 8.961271874515803574e+03 9.662934750628774383e-01 3.491508983828413459e+00 5.282791541656929546e+00 5.734632012851161864e-01 1.199705375820289577e+00 4.181531972008367126e-01 
1.516716888470924139e+09 2.552996490626050218e+03 4.827148601089151271e+03 2.796204184023742976e+18 1.444144082751619280e+05 1.718325415299105259e+36 9.429079813033017232e-02 2.949103747771290835e-05 1.136657174940323457e+06 4.495334820542355537e+09 8.999294548908806973e+03 9.364524209851127212e-01 3.551497334514818860e+00 5.301771327531574762e+00 5.722644759328610053e-01 1.198541268706753815e+00 4.187912003320445331e-01 
1.570290124729377508e+09 2.643173032602317107e+03 4.768071110696995675e+03 2.796204184023742976e+18 1.407246850100374140e+05 1.749477145053838288e+36 9.420284724081916250e-02 2.822043482845560183e-05 1.108481118444035063e+06 4.195024452373355389e+09 9.034746107248894987e+03 9.076292286307059420e-01 3.612157583150139573e+00 5.320459121180189932e+00 5.710907134147267250e-01 1.197398973144218726e+00 4.194195115964871046e-01 
1.625755666443793535e+09 2.736534776263215008e+03 4.708716828739475204e+03 2.796204184023742976e+18 1.371288599064972077e+05 1.781174268780165914e+36 9.412209115780152680e-02 2.699574598117021590e-05 1.080923363709976897e+06 3.913206196571651459e+09 9.067624608776965033e+03 8.797852041277665069e-01 3.673491345343704584e+00 5.338852803501112909e+00 5.699416576911850996e-01 1.196278255780483857e+00 4.200381298180992928e-01 
1.683180353330955029e+09 2.833194228803512488e+03 4.649126994686839680e+03 2.796204184023742976e+18 1.336245596269381058e+05 1.813426335051683731e+36 9.404839988595432854e-02 2.581586793835270534e-05 1.053973504223213764e+06 3.648874442950400829e+09 9.097931489425556720e+03 8.528833259181882731e-01 3.735500169928677394e+00 5.356950355894985805e+00 5.688170671727569294e-01 1.195178929091128550e+00 4.206470242272195015e-01 
1.742633386009647131e+09 2.933267871379482585e+03 4.589342122678588566e+03 2.796204184023742976e+18 1.302094701057087950e+05 1.846243059615195540e+36 9.398164669556574591e-02 2.467969009452017232e-05 1.027621204125796328e+06 3.401067524615791798e+09 9.125671442770453723e+03 8.268881036715757249e-01 3.798185762646432817e+00 5.374750205240028222e+00 5.677166826616443229e-01 1.194100795343804089e+00 4.212461749277714995e-01 
1.804186409392075539e+09 3.036876299476560234e+03 4.529401951542756251e+03 2.796204184023742976e+18 1.268813351009433536e+05 1.879634328317522462e+36 9.392170537701820254e-02 2.358609667377383184e-05 1.001856199850516277e+06 3.168866621108451366e+09 9.150852316994072680e+03 8.017655113931105859e-01 3.861549992438277901e+00 5.392250904827327496e+00 5.666402445882688932e-01 1.193043647120021866e+00 4.218355723114595723e-01 
1.867913599020784616e+09 3.144144368234979538e+03 4.469345399757171435e+03 2.796204184023742976e+18 1.236379547803019232e+05 1.913610200083543241e+36 9.386845162653704999e-02 2.253396907517455687e-05 9.766683018453201512e+05 2.951394626812513828e+09 9.173485018676634354e+03 7.774829234900290098e-01 3.925594897401466277e+00 5.409451283905360341e+00 5.655874853670755931e-01 1.192007268111619167e+00 4.224152166170741518e-01 
1.933891750455232143e+09 3.255201342908712832e+03 4.409210524035427625e+03 2.796204184023742976e+18 1.204771843398899364e+05 1.948180909946412845e+36 9.382176433257019554e-02 2.152218812113820609e-05 9.520473963860647054e+05 2.747814990131747246e+09 9.193583488277732613e+03 7.540090536845337477e-01 3.990322690365595726e+00 5.426350589274109737e+00 5.645581223806702686e-01 1.190991433887676809e+00 4.229851174937281355e-01 
