# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 0.1, r = 1.000000e+10 cm, r = 3366.4773037502728 rg, structure = BellLin, mu = 0.62
3.704146385557636023e+01 1.000000000000000000e+04 3.668230432466068000e+15 1.300206946403600972e+34 1.519762154839818420e-02 2.064941071158063581e-07 4.727821619676591217e+04 1.309215807110225549e+06 1.213313251815598051e+03 9.624160549242271115e-03 6.407033710437798391e+01 4.816412309465656350e+00 5.901669133024317615e-01 1.145826442805627288e+00 4.453198946707582206e-01 
3.658686262045163318e+01 9.954061083088736268e+03 3.601287680866792000e+15 1.276479039380531251e+34 1.510466273245877553e-02 2.046333420111606913e-07 4.699137552379044064e+04 1.289546628823774401e+06 1.205921762649034463e+03 9.535980429259729649e-03 6.446424453648013753e+01 4.787131184502277037e+00 5.918446749299848264e-01 1.145707630796592769e+00 4.451884804884301827e-01 
3.613764621466798133e+01 9.908333204586158899e+03 3.535566589704101000e+15 1.253184150788293005e+34 1.501148938753901416e-02 2.027899265140348093e-07 4.670636705549257749e+04 1.270179097126382636e+06 1.198581073997279873e+03 9.448636924369001322e-03 6.486045432197698801e+01 4.757518403188802480e+00 5.935532738964404142e-01 1.145585864236519535e+00 4.450503882692522506e-01 
3.569374930870859686e+01 9.862815395004698075e+03 3.471044864492265000e+15 1.230314378330193858e+34 1.491809239216514843e-02 2.009637395459373299e-07 4.642318617449969315e+04 1.251108985632798867e+06 1.191291294115738992e+03 9.362124319215544069e-03 6.525896721596738814e+01 4.727568829917399462e+00 5.952935505251460979e-01 1.145461196773151613e+00 4.449052009664627994e-01 
3.525510390030463270e+01 9.817506689310463116e+03 3.407700617604948500e+15 1.207861963921150179e+34 1.482448592663487136e-02 1.991546731593080415e-07 4.614182210163702985e+04 1.232332032974444330e+06 1.184052501820461202e+03 9.276432622624640467e-03 6.565980950479915634e+01 4.697292833170671145e+00 5.970653382074978532e-01 1.145333411790638189e+00 4.447528659905391479e-01 
3.482164947232828212e+01 9.772406126902860706e+03 3.345512360850403500e+15 1.185819291055958589e+34 1.473064055285882093e-02 1.973626071672676416e-07 4.586227543621839868e+04 1.213844255546010332e+06 1.176865826329271385e+03 9.191559353454779521e-03 6.606296336408853165e+01 4.666672034925907653e+00 5.988703860927213629e-01 1.145202796616046070e+00 4.445926747918731436e-01 
3.439332024561756640e+01 9.727512751594169458e+03 3.284458998181975000e+15 1.164178882225529005e+34 1.463656570614979731e-02 1.955874367624829486e-07 4.558453719922632445e+04 1.195641554889942287e+06 1.169731435644972635e+03 9.107495586211851804e-03 6.646844939818413422e+01 4.635713794728059334e+00 6.007087611313792763e-01 1.145069198007848232e+00 4.444244696232308445e-01 
3.397005490735966760e+01 9.682825611589285472e+03 3.224519818541743000e+15 1.142933396380309058e+34 1.454224928698010476e-02 1.938290621326478953e-07 4.530860241418718942e+04 1.177720015779499896e+06 1.162650157828335296e+03 9.024234639401045033e-03 6.687627569704703490e+01 4.604411508058571023e+00 6.025814715297924673e-01 1.144932683996096268e+00 4.442478974443364592e-01 
3.355179154876131520e+01 9.638343759465578842e+03 3.165674488834778000e+15 1.122075626440003164e+34 1.444768814925176913e-02 1.920873809477372967e-07 4.503446595197756687e+04 1.160075747761412058e+06 1.155622937732348191e+03 8.941769912876510948e-03 6.728644989716894997e+01 4.572764362885044953e+00 6.044891711002990942e-01 1.144793273897358299e+00 4.440625877309087866e-01 
3.313846638476793771e+01 9.594066252152739253e+03 3.107903047031484000e+15 1.101598496848693405e+34 1.435289225237448146e-02 1.903622742679846103e-07 4.476212417391491181e+04 1.142704842793397140e+06 1.148649567844314333e+03 8.860096520686536886e-03 6.769896797280266298e+01 4.540779787394325417e+00 6.064319873433645647e-01 1.144650935326728236e+00 4.438679960347511888e-01 
3.273002265224440777e+01 9.549992150912858051e+03 3.051185895396002500e+15 1.081495061174641884e+34 1.425783763622095329e-02 1.886536771308402357e-07 4.449156987786366517e+04 1.125603669486824889e+06 1.141731713913029580e+03 8.779205000084425517e-03 6.811385803746019008e+01 4.508444234675382134e+00 6.084114389541195322e-01 1.144505753999922160e+00 4.436640103851727801e-01 
3.232640080444345898e+01 9.506120521320448461e+03 2.995503793837994500e+15 1.061758499753825932e+34 1.416252380583808007e-02 1.869614832130629662e-07 4.422280160998764768e+04 1.108768535125183640e+06 1.134871062645307575e+03 8.699091277371307288e-03 6.853111195489739771e+01 4.475758522807924855e+00 6.104281598668953590e-01 1.144357849856389553e+00 4.434500030574908824e-01 
3.192754436682657726e+01 9.462450433242707732e+03 2.940837853385944000e+15 1.042382117376544842e+34 1.406693483872188677e-02 1.852856237601070293e-07 4.395581359081310802e+04 1.092195901243708795e+06 1.128069324462912391e+03 8.619747015172887772e-03 6.895075139794452923e+01 4.442714298630806802e+00 6.124833988695160825e-01 1.144207310903026631e+00 4.432257415135154588e-01 
