# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 0.5, r = 1.000000e+10 cm, r = 33664.77303750273 rg, structure = BellLin, mu = 0.62
2.924341641470146413e+01 1.000000000000000000e+04 3.592641175954258000e+16 4.111615380207851587e+34 4.149950952781617658e-02 5.781693970470767989e-08 3.754233558695248939e+04 2.910843681025568512e+05 4.810752444410492785e+02 1.721060102073375397e-02 3.209726848685737366e+01 4.488972930546282214e+00 6.093966303848654675e-01 1.144300690186728753e+00 4.429781549777464522e-01 
2.888361446581660985e+01 9.954061083088736268e+03 3.527077877722322000e+16 4.036581149906245948e+34 4.121802184830244964e-02 5.730352722383648947e-08 3.731621289733592130e+04 2.867618759393280488e+05 4.781987628843214679e+02 1.705291416873848734e-02 3.229425589174945799e+01 4.455807326879584807e+00 6.114388695250900785e-01 1.144119349765578608e+00 4.427504948723643419e-01 
2.852800063962874688e+01 9.908333204586158899e+03 3.462711065825776400e+16 3.962916244114899349e+34 4.093582826742261233e-02 5.679499190801675235e-08 3.709158540947781148e+04 2.825061680724876351e+05 4.753446649188035167e+02 1.689675952409220444e-02 3.249235653068954122e+01 4.422299253468826130e+00 6.135185747598426165e-01 1.143934268952916833e+00 4.425115863655596504e-01 
2.817653653131833380e+01 9.862815395004698075e+03 3.399518905189398400e+16 3.890595673577518944e+34 4.065274605854839879e-02 5.629132655872205209e-08 3.686845490356448863e+04 2.783164756939608487e+05 4.725153970614291552e+02 1.674212590717890151e-02 3.269157277983553911e+01 4.388410473682837321e+00 6.156391675792017848e-01 1.143746116149760850e+00 4.422609226028546558e-01 
2.782916818493720257e+01 9.817506689310463116e+03 3.337479959213424400e+16 3.819594905074957494e+34 4.036883973651373553e-02 5.579250660338167342e-08 3.664681637565499113e+04 2.741919000992357032e+05 4.697111040605828407e+02 1.658899810404861411e-02 3.289191196660672034e+01 4.354157164304147898e+00 6.178002632089512058e-01 1.143554706700821821e+00 4.419981342762122623e-01 
2.748585153475866605e+01 9.772406126902860706e+03 3.276573182501746000e+16 3.749889853102962009e+34 4.008403219644445653e-02 5.529851439936667258e-08 3.642667217714081926e+04 2.701316410753405071e+05 4.669333146391068112e+02 1.643736892182307355e-02 3.309336913992962792e+01 4.319524162435476988e+00 6.200037756895857566e-01 1.143360472530092542e+00 4.417224745151672183e-01 
2.714652671410992113e+01 9.727512751594169458e+03 3.216777913722624000e+16 3.681456871701584606e+34 3.979846244806832523e-02 5.480932212879152643e-08 3.620801293704389536e+04 2.661347701096070232e+05 4.641807441850671694e+02 1.628721837279801035e-02 3.329595949667851329e+01 4.284544487671566593e+00 6.222480591730482624e-01 1.143162785090210853e+00 4.414337662657643602e-01 
2.681117064996503174e+01 9.682825611589285472e+03 3.158073868599796000e+16 3.614272746433821529e+34 3.951183090728194874e-02 5.432494182910176546e-08 3.599084705760463112e+04 2.622006920137829147e+05 4.614590993411275122e+02 1.613853873533575498e-02 3.349968214116392318e+01 4.249154690206698781e+00 6.245387025675057657e-01 1.142963109598239324e+00 4.411313351466019661e-01 
2.647969821717315497e+01 9.638343759465578842e+03 3.100441133031513200e+16 3.548314686510661211e+34 3.922457965394793994e-02 5.384530381903131258e-08 3.577516256872635859e+04 2.583282746203588322e+05 4.587620925303664308e+02 1.599131914733004090e-02 3.370453303982533555e+01 4.213453515545940498e+00 6.268691616543167200e-01 1.142759614619834219e+00 4.408144326663927526e-01 
2.615210378081215481e+01 9.594066252152739253e+03 3.043860156335011600e+16 3.483560317059689048e+34 3.893623895734708851e-02 5.337045331130947938e-08 3.556096794855796907e+04 2.545170968664527463e+05 4.560991506035334169e+02 1.584554219562869445e-02 3.391053143704473172e+01 4.177341380072046029e+00 6.292478570464915544e-01 1.142554479791809463e+00 4.404829080977752942e-01 
