# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.01, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
4.539303543703665582e+02 1.000000000000000000e+04 1.803439570257686800e+16 2.907351116975877209e+34 5.069035975822992063e-02 8.331612078312735965e-07 8.609940645653168031e+04 9.619925174556391314e+06 1.336409590107043368e+04 1.440650739707240516e-02 5.779395184277143471e+01 5.856818724559742506e+00 5.374088511039952776e-01 1.149016562701465016e+00 4.475507228329747567e-01 
4.484254197046269041e+02 9.954061083088736268e+03 1.770528004477206800e+16 2.854293903908498768e+34 5.046348042679606183e-02 8.256472991300277440e-07 8.557509068741448573e+04 9.475113657231733203e+06 1.328396145521617655e+04 1.427364247335776923e-02 5.815192139341779409e+01 5.840837340766499963e+00 5.381315598412428347e-01 1.148990413192788385e+00 4.475456106957150793e-01 
4.429865649428155052e+02 9.908333204586158899e+03 1.738217052756644000e+16 2.802204949487969271e+34 5.023659784810567686e-02 8.182002024574705827e-07 8.505395548645082454e+04 9.332469811229005456e+06 1.320429365606373176e+04 1.414201321642266640e-02 5.851207465599193824e+01 5.824657182161298685e+00 5.388659678151461740e-01 1.148963714416435744e+00 4.475398149969559980e-01 
4.376129939903922832e+02 9.862815395004698075e+03 1.706495754291190000e+16 2.751066583641707531e+34 5.000976261201686007e-02 8.108193718983535073e-07 8.453597994967518025e+04 9.191961637785287574e+06 1.312508990884836930e+04 1.401160652021740151e-02 5.887443042093850210e+01 5.808289947622752081e+00 5.396116335116613039e-01 1.148936399733858194e+00 4.475334031593729556e-01 
4.323039308507846386e+02 9.817506689310463116e+03 1.675353348303363600e+16 2.700861458764090436e+34 4.978287563844829844e-02 8.035042202888999331e-07 8.402114968708227389e+04 9.053557779021618888e+06 1.304635430563772570e+04 1.388241337069707516e-02 5.923899326765461382e+01 5.791712141327455043e+00 5.403697725302747390e-01 1.148908521526531556e+00 4.475262088507974689e-01 
4.270585958145916834e+02 9.772406126902860706e+03 1.644779270392698200e+16 2.651572543831731756e+34 4.955593376733798128e-02 7.962541969869709169e-07 8.350944564734297455e+04 8.917227173911204562e+06 1.296808342301896300e+04 1.375442192828386402e-02 5.960577823808171161e+01 5.774922824476398375e+00 5.411405438491085906e-01 1.148880030244787021e+00 4.475182317922216102e-01 
4.218762194773882470e+02 9.727512751594169458e+03 1.614763148951953600e+16 2.603183118626004794e+34 4.932899276035006275e-02 7.890687981840531572e-07 8.300084441235000850e+04 8.782939210498737171e+06 1.289027245628162018e+04 1.362761753136208093e-02 5.997481178129932999e+01 5.757935151319212963e+00 5.419234342716862107e-01 1.148850812860271464e+00 4.475096532529145854e-01 
4.167560483804637670e+02 9.682825611589285472e+03 1.585294801648780200e+16 2.555676768061082705e+34 4.910196721701913514e-02 7.819474333427802474e-07 8.249533336022202275e+04 8.650663839350670576e+06 1.281292224254084249e+04 1.350199248170742133e-02 6.034609467971448993e+01 5.740728589693280703e+00 5.427195489828465780e-01 1.148820929231874066e+00 4.475002386785145170e-01 
4.116973311268741327e+02 9.638343759465578842e+03 1.556364231971603400e+16 2.509037376615507489e+34 4.887488538252121595e-02 7.748895841127458015e-07 8.199289196039616945e+04 8.520371351207245141e+06 1.273603074806484983e+04 1.337753405989989923e-02 6.071964714974302524e+01 5.723309693748666938e+00 5.435286995998563908e-01 1.148790303663829171e+00 4.474900627507913953e-01 
4.066993240217096854e+02 9.594066252152739253e+03 1.527961625838472200e+16 2.463249122865266340e+34 4.864779982957622567e-02 7.678946605014298388e-07 8.149350721542301471e+04 8.392032404693746939e+06 1.265959148296191961e+04 1.325423460412530029e-02 6.109546998119667904e+01 5.705690236745765809e+00 5.443504718506116946e-01 1.148758965660694908e+00 4.474788922998398921e-01 
4.017612986491560036e+02 9.549992150912858051e+03 1.500077348267892000e+16 2.418296474116792619e+34 4.842061538731087800e-02 7.609621912992155132e-07 8.099715636816613551e+04 8.265618314987380989e+06 1.258360935513743789e+04 1.313207975324438836e-02 6.147359115860122358e+01 5.687848101573403703e+00 5.451860310056075853e-01 1.148726816268480055e+00 4.474669157157643573e-01 
3.968825313920389704e+02 9.506120521320448461e+03 1.472701940110310800e+16 2.374164181137748415e+34 4.819334839052618474e-02 7.540916339429947317e-07 8.050382344288834429e+04 8.141100676036771387e+06 1.250808074595012476e+04 1.301105982379108759e-02 6.185402059201257430e+01 5.669786794192386736e+00 5.460353559981713234e-01 1.148693843833451966e+00 4.474540369070848511e-01 
3.920623066842676394e+02 9.462450433242707732e+03 1.445826114839350000e+16 2.330837272984118472e+34 4.796598493825853654e-02 7.472824648413381825e-07 8.001349129763772362e+04 8.018451521993787959e+06 1.243300166766569964e+04 1.289116435676378181e-02 6.223677173197813772e+01 5.651502830154550239e+00 5.468987576004125106e-01 1.148660015748648178e+00 4.474402116206166458e-01 
3.872999195402970258e+02 9.418980960819737447e+03 1.419440755401510000e+16 2.288301051921578048e+34 4.773851079273488257e-02 7.405341060487188929e-07 7.952614924322768638e+04 7.897643297407686710e+06 1.235837364757872638e+04 1.277238706198013767e-02 6.262184072589258221e+01 5.632992171526258751e+00 5.477766035619220375e-01 1.148625401251237799e+00 4.474251301017999616e-01 
3.825946614753059976e+02 9.375711182444940277e+03 1.393536911123419400e+16 2.246541088439621610e+34 4.751100959071017510e-02 7.338461347990019724e-07 7.904176945403417631e+04 7.778648741998276673e+06 1.228419048520681099e+04 1.265471082458073486e-02 6.300926992135349991e+01 5.614275190979184593e+00 5.486680105749798253e-01 1.148589772828858990e+00 4.474091853662747198e-01 
3.779458540056605216e+02 9.332640180745505859e+03 1.368105794675524200e+16 2.205543216356684710e+34 4.728334608584879029e-02 7.272179802457264824e-07 7.856034373841081106e+04 7.661441304580415599e+06 1.221045611606156490e+04 1.253813067064689021e-02 6.339905086109689591e+01 5.595319139981032031e+00 5.495747603815864801e-01 1.148553262160518118e+00 4.473919915974610140e-01 
3.733528107296865528e+02 9.289767042562896677e+03 1.343138779091133800e+16 2.165293528014501977e+34 4.705554351534291940e-02 7.206491695101462265e-07 7.808185171914019156e+04 7.545994601468141191e+06 1.213716906875122913e+04 1.242263418756619706e-02 6.379120719947840001e+01 5.576129581739676766e+00 5.504967317521964887e-01 1.148515766161147811e+00 4.473736488280823931e-01 
3.688148534081801131e+02 9.247090858933566778e+03 1.318627394839952000e+16 2.125778369560306669e+34 4.682763890574617033e-02 7.141391642820228483e-07 7.760628019814340223e+04 7.432282589505535550e+06 1.206432568575377991e+04 1.230821364659473970e-02 6.418574241050347950e+01 5.556714874812479721e+00 5.514336898281011479e-01 1.148477289218988506e+00 4.473539518935393255e-01 
3.643313198159908666e+02 9.204610725069620457e+03 1.294563326954928400e+16 2.086984336314984205e+34 4.659956736879174166e-02 7.076875171406120737e-07 7.713360904598893831e+04 7.320279830113567412e+06 1.199192584134203935e+04 1.219485656121621110e-02 6.458268199859986680e+01 5.537059755942313366e+00 5.523865449904800107e-01 1.148437750596891460e+00 4.473330193240430130e-01 
