# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 1, r = 1.000000e+10 cm, r = 3366.4773037502728 rg, structure = BellLin, mu = 0.62
6.095505110675964566e+00 1.000000000000000000e+04 3.668230432466068000e+15 1.300206946403600972e+34 1.003183991393183025e-02 4.483012976382697832e-08 2.847026891107818301e+04 1.711607026753083919e+05 1.571223894203774591e+02 9.680370654522168009e-03 4.950797611798898146e+01 3.484808582683471379e+00 6.776869379773590163e-01 1.135520722174867325e+00 4.306157120138092709e-01 
6.018357621585097128e+00 9.954061083088736268e+03 3.601287680866792000e+15 1.276479039380531251e+34 9.939341837181083980e-03 4.445043223479807864e-08 2.830466780748364909e+04 1.687238769871004915e+05 1.562399606355144783e+02 9.593685405648689352e-03 4.980774254857184502e+01 3.441151477775846068e+00 6.811054876677744563e-01 1.135249592436800237e+00 4.298481704132740000e-01 
5.942128799157171848e+00 9.908333204586158899e+03 3.535566589704101000e+15 1.253184150788293005e+34 9.846492799150174946e-03 4.407563956145793097e-08 2.814044207576206827e+04 1.663305540580151428e+05 1.553796925611619599e+02 9.507829807642188130e-03 5.010942148011965713e+01 3.397158042369858855e+00 6.845920870759601984e-01 1.134985044361047413e+00 4.290535256453749113e-01 
5.866813346516173588e+00 9.862815395004698075e+03 3.471044864492265000e+15 1.230314378330193858e+34 9.753281593720760853e-03 4.370580010812796790e-08 2.797759643766270528e+04 1.639804115734327643e+05 1.545442077062680539e+02 9.422787645486374597e-03 5.041308287654629794e+01 3.352827763711261344e+00 6.881489273938504736e-01 1.134728706392118980e+00 4.282317029938574882e-01 
5.792401217924956214e+00 9.817506689310463116e+03 3.407700617604948500e+15 1.207861963921150179e+34 9.659721802132301138e-03 4.334093992380015987e-08 2.781613249075561544e+04 1.616730261330668582e+05 1.537353244060895179e+02 9.338544401148075533e-03 5.071878843754640087e+01 3.308177908728873629e+00 6.917763267999029742e-01 1.134481189354311637e+00 4.273823882283224740e-01 
5.718890418998376468e+00 9.772406126902860706e+03 3.345512360850403500e+15 1.185819291055958589e+34 9.565792973935859089e-03 4.298112643588012387e-08 2.765605691635527910e+04 1.594081600581539096e+05 1.529576419017084561e+02 9.255081820791016822e-03 5.102662815132700302e+01 3.263202113333225629e+00 6.954773788993651173e-01 1.134244893972728097e+00 4.265057695405528593e-01 
5.646267575015471607e+00 9.727512751594169458e+03 3.284458998181975000e+15 1.164178882225529005e+34 9.471525895065426026e-03 4.262637177134506406e-08 2.749736948033792578e+04 1.571853307419051998e+05 1.522133213381786163e+02 9.172386664520847457e-03 5.133666247417260564e+01 3.217930185893126183e+00 6.992510712606281320e-01 1.134019728984918318e+00 4.256013534986290425e-01 
5.574533405176645751e+00 9.682825611589285472e+03 3.224519818541743000e+15 1.142933396380309058e+34 9.376892933493858120e-03 4.227676231827745956e-08 2.734007700066489997e+04 1.550043724900530360e+05 1.513933537213563625e+02 9.090436858184818697e-03 5.164901128129832131e+01 3.172351593440547735e+00 7.031012160864402727e-01 1.133808705053386268e+00 4.246697420570881287e-01 
5.503680124366191251e+00 9.638343759465578842e+03 3.165674488834778000e+15 1.122075626440003164e+34 9.281905033107306843e-03 4.193234211932166797e-08 2.718418193235921717e+04 1.528649378692363680e+05 1.504941282449280777e+02 9.009215151224820098e-03 5.196376906490862524e+01 3.126482948222927050e+00 7.070285446983292088e-01 1.133613007321615074e+00 4.237109421020845423e-01 
5.433704948380503552e+00 9.594066252152739253e+03 3.107903047031484000e+15 1.101598496848693405e+34 9.186555970833305135e-03 4.159318461429981856e-08 2.702968768992192054e+04 1.507667930348858936e+05 1.496296442756654415e+02 8.928699036370359859e-03 5.228106658648359684e+01 3.080329471692229149e+00 7.110352924815298570e-01 1.133434910832710862e+00 4.227255614150390306e-01 
