# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 1, structure = BellLin, mu = 0.62
1.414991297434578896e+09 4.763536087817661269e+02 1.446953236731089874e+03 1.398102092011871642e+19 3.361385508339558728e+05 1.768984251151739326e+37 7.080598852276666355e-02 1.037818732565700670e-05 1.446567533950710436e+06 2.013273210974159241e+09 7.597414806734871036e+02 5.485066669464324640e+00 9.585374221562386055e-01 3.759466996835777675e+00 6.957916864507104338e-01 1.294534382581274734e+00 3.790995625675907532e-01 
1.464971398307287931e+09 4.931792963044785552e+02 1.450280421501222008e+03 1.398102092011871642e+19 3.276217354246131727e+05 1.802624701123581828e+37 7.034812387151111179e-02 1.015706473776206962e-05 1.416860999074140564e+06 1.929914024110704899e+09 7.759060436570640604e+02 5.266241753666064618e+00 9.775898058601160123e-01 3.787343754901564719e+00 6.927429306870730441e-01 1.291700160944495135e+00 3.799808997491221918e-01 
1.516716888470924139e+09 5.105992981252099980e+02 1.453119984318448360e+03 1.398102092011871642e+19 3.193185060348483385e+05 1.836854116740696245e+37 6.990230819262055473e-02 9.935424467450280718e-06 1.387640089653258678e+06 1.848867379140506506e+09 7.921460774844487105e+02 5.057447273854394965e+00 9.970305889978734459e-01 3.815094089862953286e+00 6.897457206838221166e-01 1.288916251728720708e+00 3.808642734875963276e-01 
1.570290124729377508e+09 5.286346065204634215e+02 1.455472153795703207e+03 1.398102092011871642e+19 3.112236059818099020e+05 1.871682809414839240e+37 6.946831032307669573e-02 9.713546683833930494e-06 1.358899461472826544e+06 1.770140154383821487e+09 8.084504547273155595e+02 4.858155622890865111e+00 1.016862999981774207e+00 3.842718440261357671e+00 6.867986586859067266e-01 1.286180862804360503e+00 3.817494655757170952e-01 
1.625755666443793535e+09 5.473069552526429788e+02 1.457337540304599315e+03 1.398102092011871642e+19 3.033319033278854331e+05 1.907121271086484212e+37 6.904590537100367686e-02 9.491701114927314435e-06 1.330633795062316814e+06 1.693733584599375010e+09 8.248076746922835127e+02 4.667871247786837152e+00 1.037090140052070231e+00 3.870216670516911872e+00 6.839004622577870007e-01 1.283492349712228142e+00 3.826362374882011363e-01 
1.683180353330955029e+09 5.666388457607024520e+02 1.458717145892181634e+03 1.398102092011871642e+19 2.956383881447208114e+05 1.943180177385455612e+37 6.863487626438137534e-02 9.270147115784084318e-06 1.302837798340286827e+06 1.619643647245217562e+09 8.412057904910341222e+02 4.486128386049076155e+00 1.057714979501620967e+00 3.897588309094499159e+00 6.810499373821864433e-01 1.280849205822278014e+00 3.835243321538571171e-01 
1.742633386009647131e+09 5.866535742758965171e+02 1.459612369890640139e+03 1.398102092011871642e+19 2.881381698256448144e+05 1.979870390846905142e+37 6.823500866466736259e-02 9.049133740856167663e-06 1.275506209034702741e+06 1.547861433481555939e+09 8.576324996159115699e+02 4.312488987288164211e+00 1.078740354196032758e+00 3.924832036820026460e+00 6.782460161970530477e-01 1.278250050429361240e+00 3.844134744567790918e-01 
1.804186409392075539e+09 6.073752598953120696e+02 1.460025017877380833e+03 1.398102092011871642e+19 2.808264744463129900e+05 2.017202964183587303e+37 6.784609287277755529e-02 8.828899820833820142e-06 1.248633796480062883e+06 1.478373503809755564e+09 8.740752056366388842e+02 4.146540798510347514e+00 1.100168963070273120e+00 3.951945949422476012e+00 6.754877280083212421e-01 1.275693620055438515e+00 3.853033732224981911e-01 
1.867913599020784616e+09 6.288288736469959304e+02 1.459957308904714864e+03 1.398102092011871642e+19 2.736986421733403113e+05 2.055189143615406384e+37 6.746792425823704142e-02 8.609674041013720328e-06 1.222215363072016276e+06 1.411162228592402458e+09 8.905210002004184844e+02 3.987895602095028913e+00 1.122003366166394844e+00 3.978927663603221809e+00 6.727741849754942383e-01 1.273178759617645595e+00 3.861937229246459879e-01 
1.933891750455232143e+09 6.510402685817425663e+02 1.459411882711800672e+03 1.398102092011871642e+19 2.667501247206315747e+05 2.093840372257305457e+37 6.710030539848023390e-02 8.391675021624762579e-06 1.196245745311255800e+06 1.346206113869138002e+09 9.069567018343723248e+02 3.836187591612826076e+00 1.144245983435530523e+00 4.005774633019520081e+00 6.701045515945183162e-01 1.270704414624546752e+00 3.870842057704033112e-01 
2.002200371815584421e+09 6.740362109277522222e+02 1.458391801093434651e+03 1.398102092011871642e+19 2.599764828531056992e+05 2.133168293566416584e+37 6.674303969234408884e-02 8.175111398131256155e-06 1.170719814741823822e+06 1.283480112915664434e+09 9.233688630000328885e+02 3.691071876837221932e+00 1.166899093688956279e+00 4.032483450426744831e+00 6.674780976783131203e-01 1.268269620611412574e+00 3.879744920656282292e-01 
2.072921779595369816e+09 6.978444123457437627e+02 1.456900553991684092e+03 1.398102092011871642e+19 2.533733839374455274e+05 2.173184754849589552e+37 6.639593536478598235e-02 7.960181905293150839e-06 1.145632478281494463e+06 1.222955923996063948e+09 9.397438022192010294e+02 3.552223100040962755e+00 1.189964834898748158e+00 4.059050370119523521e+00 6.648941508295652669e-01 1.265873496776106055e+00 3.888642427444824468e-01 
2.146141197858401537e+09 7.224935633233732233e+02 1.454942061724993437e+03 1.398102092011871642e+19 2.469365995394851197e+05 2.213901810832325060e+37 6.605880485909082500e-02 7.747075462184644759e-06 1.120978678391024005e+06 1.164602274765123606e+09 9.560676353501823996e+02 3.419334159217043201e+00 1.213445204967152247e+00 4.085471293574011398e+00 6.623520941072753576e-01 1.263515238190436207e+00 3.897531109786199210e-01 
2.221946860939519405e+09 7.480133677492055995e+02 1.452520677225395502e+03 1.398102092011871642e+19 2.406620030678136682e+05 2.255331727290190020e+37 6.573146665956687562e-02 7.535971259956401381e-06 1.096753392911688192e+06 1.108385193795663834e+09 9.723263115107999965e+02 3.292115026637923769e+00 1.237342063446158269e+00 4.111742055603405888e+00 6.598513403168011493e-01 1.261194109136232200e+00 3.906407443155877623e-01 
2.300430119772921562e+09 7.744345787079062120e+02 1.449641182632024993e+03 1.398102092011871642e+19 2.345455674631457950e+05 2.297486984743812900e+37 6.541373925904216124e-02 7.327038851136450136e-06 1.072951634865499567e+06 1.054268269719348073e+09 9.885056514551678220e+02 3.170291657775834437e+00 1.261657133510570183e+00 4.137857729629067727e+00 6.573913836745625128e-01 1.258909433911428621e+00 3.915267852383855218e-01 
2.381685551976160526e+09 8.017890355397685198e+02 1.446308790273878003e+03 1.398102092011871642e+19 2.285833629329867836e+05 2.340380282218554246e+37 6.510544580651456137e-02 7.120438244052206739e-06 1.049568451755409595e+06 1.002212898380487084e+09 1.004591384183579521e+03 3.053604977388001629e+00 1.286392005506184155e+00 4.163813252734501091e+00 6.549717472911529281e-01 1.256660591628215640e+00 3.924108739426992454e-01 
2.465811075822603703e+09 8.301097022092837960e+02 1.442529139279724177e+03 1.398102092011871642e+19 2.227715547310869442e+05 2.384024541070038154e+37 6.480641353257191040e-02 6.916320000318355515e-06 1.026598924812123645e+06 9.521785184779933691e+08 1.020569165429948043e+03 2.941809941135330231e+00 1.311548141017965685e+00 4.189603413009401756e+00 6.525919820213955669e-01 1.254447009303479410e+00 3.932926500740129838e-01 
2.552908068239516735e+09 8.594307070289286230e+02 1.438308298261475557e+03 1.398102092011871642e+19 2.171064009811811557e+05 2.428432908876616682e+37 6.451647347697773982e-02 6.714824443620971190e-06 1.004038178942851373e+06 9.041227256066249609e+08 1.036424617105420339e+03 2.834675134096506177e+00 1.337126718177293005e+00 4.215222310213676771e+00 6.502517525688472633e-01 1.252268328495850458e+00 3.941716924381881704e-01 
2.643081486974102974e+09 8.897873837860839785e+02 1.433652753237789057e+03 1.398102092011871642e+19 2.115842505444683484e+05 2.473618763400007284e+37 6.423545757408045953e-02 6.516082525786081509e-06 9.818813744121460477e+05 8.580015914617618322e+08 1.052143365839414173e+03 2.731981564077987201e+00 1.363128730842477099e+00 4.240663416882555659e+00 6.479507942432117806e-01 1.250124272359966149e+00 3.950475598671768784e-01 
2.736439997074666500e+09 9.212163143226327975e+02 1.428569379917352080e+03 1.398102092011871642e+19 2.062015409302844491e+05 2.519595716615265917e+37 6.396320147890915964e-02 6.320218345007978220e-06 9.601236743056484265e+05 8.137701514452056885e+08 1.067711103420302152e+03 2.633520649427090188e+00 1.389555466699498698e+00 4.265921591320202211e+00 6.456886269012741542e-01 1.248014152122282283e+00 3.959199742029131386e-01 
2.833096101839318275e+09 9.537553726185436744e+02 1.423065465140274682e+03 1.398102092011871642e+19 2.009547962494042877e+05 2.566377618811312780e+37 6.369954542875433390e-02 6.127345610072905650e-06 9.387602875048317946e+05 7.713821448787450790e+08 1.083113579136544104e+03 2.539095439599968973e+00 1.416407866579683983e+00 4.290990961071353027e+00 6.434649074146406855e-01 1.245937567822369862e+00 3.967885697906701759e-01 
2.933166278390048504e+09 9.874437704325753202e+02 1.417148683867602358e+03 1.398102092011871642e+19 1.958406252093937946e+05 2.613978562763257856e+37 6.344433077990092873e-02 5.937569140696147567e-06 9.177864514237841358e+05 7.307903731502809525e+08 1.098336623396307232e+03 2.448519243830014069e+00 1.443686761440132083e+00 4.315865340078254064e+00 6.412793245887894455e-01 1.243894143303410971e+00 3.976529850562058876e-01 
3.036771118035460472e+09 1.022322104555071860e+03 1.410827088129858112e+03 1.398102092011871642e+19 1.908557191514305305e+05 2.662412887977746514e+37 6.319740125731522495e-02 5.750985003602421261e-06 8.971974306100737303e+05 6.919468743328933716e+08 1.113366247539524693e+03 2.361615024832625753e+00 1.471392879690433420e+00 4.340538434305837079e+00 6.391315823444394528e-01 1.241883521715246630e+00 3.985128642657920217e-01 
3.144035471591500282e+09 1.058432405729857237e+03 1.404109094566444583e+03 1.398102092011871642e+19 1.859968501279866614e+05 2.711695185012681915e+37 6.295860377072809433e-02 5.567680656421497353e-06 8.769885153302324470e+05 6.548030886385185719e+08 1.128188652430296543e+03 2.278214833956942353e+00 1.499526855103221035e+00 4.365003996048728574e+00 6.370213875418443417e-01 1.239905361288109686e+00 3.993678592210325173e-01 
3.255088599835056305e+09 1.095818189304097132e+03 1.397003470998200328e+03 1.398102092011871642e+19 1.812608690207835753e+05 2.761840299872527952e+37 6.272778941106359196e-02 5.387735099508492140e-06 8.571550201525076991e+05 6.193100149260580540e+08 1.142790201697409429e+03 2.198159284656303836e+00 1.528089235202915619e+00 4.389256008308285217e+00 6.349484364779280909e-01 1.237959331750475123e+00 4.002176309864904358e-01 
3.370064329271924973e+09 1.134524507667232228e+03 1.389519319451793081e+03 1.398102092011871642e+19 1.766447036983994185e+05 2.812863338480582030e+37 6.250480905816403754e-02 5.211219035533612850e-06 8.376922826739151496e+05 5.854183585460398197e+08 1.157157559741839350e+03 2.121297062534044819e+00 1.557080489455699768e+00 4.413288111581053386e+00 6.329124553221749938e-01 1.236045109719959845e+00 4.010618504780000260e-01 
3.489101213406766415e+09 1.174598004542141553e+03 1.381666062183187023e+03 1.398102092011871642e+19 1.721453572129195090e+05 2.864779671229550364e+37 6.228951689747582593e-02 5.038195037316211792e-06 8.185956621320642298e+05 5.530786705772951841e+08 1.171277704661503776e+03 2.047484467042174128e+00 1.586501018049834455e+00 4.437094124018019947e+00 6.309131628634572220e-01 1.234162377585361847e+00 4.019002004852751386e-01 
3.612342699709437847e+09 1.216086971193981071e+03 1.373453431241146291e+03 1.398102092011871642e+19 1.677599060350095388e+05 2.917604937611792892e+37 6.208177079219600464e-02 4.868717186487931582e-06 7.998605481411837973e+05 5.222414277116211653e+08 1.185137860084636031e+03 1.976585276531616087e+00 1.616350979548242695e+00 4.460667638866100404e+00 6.289503370800691995e-01 1.232310963843928464e+00 4.027323135100215890e-01 
