# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 0.1, r = 1.000000e+10 cm, r = 33664.77303750273 rg, structure = BellLin, mu = 0.62
1.026757121009584637e+02 1.000000000000000000e+04 3.592641175954258000e+16 4.111615380207851587e+34 5.347101590003022764e-02 1.688926378303039497e-07 5.363163030376996903e+04 1.214714493124668021e+06 2.010291081834957822e+03 1.717669297015757962e-02 3.837202768057272806e+01 5.216902199553814512e+00 5.684713394349967253e-01 1.147876077235923553e+00 4.464468400216415334e-01 
1.014268527596880745e+02 9.954061083088736268e+03 3.527077877722322000e+16 4.036581149906245948e+34 5.318047253495303273e-02 1.673775836820820963e-07 5.330589691616676282e+04 1.196506451446289662e+06 1.998367250849808897e+03 1.701828318841765511e-02 3.860929090497795357e+01 5.192704297874223940e+00 5.697357454701849067e-01 1.147798469560263879e+00 4.463918295403773162e-01 
1.001928040614272248e+02 9.908333204586158899e+03 3.462711065825776400e+16 3.962916244114899349e+34 5.288945670857581743e-02 1.658761026193530539e-07 5.298216853883156000e+04 1.178571807405304397e+06 1.986527602763514096e+03 1.686136157416134526e-02 3.884798174317062092e+01 5.168207717605253215e+00 5.710230073250242011e-01 1.147718750256789821e+00 4.463337842061438909e-01 
9.897337645738217304e+01 9.862815395004698075e+03 3.399518905189398400e+16 3.890595673577518944e+34 5.259813808249700490e-02 1.643880572224535872e-07 5.266044050824289297e+04 1.160906508822090458e+06 1.974769528790440518e+03 1.670592298369322215e-02 3.908809026135088516e+01 5.143445284236186410e+00 5.723316419070166861e-01 1.147636869414426775e+00 4.462721468474758479e-01 
9.776840569290772009e+01 9.817506689310463116e+03 3.337479959213424400e+16 3.819594905074957494e+34 5.230626306797406949e-02 1.629133800555554349e-07 5.234069962332737487e+04 1.143506857372442726e+06 1.963100480478160989e+03 1.655194714100757802e-02 3.932963816190628847e+01 5.118368042777385440e+00 5.736646508343110629e-01 1.147552839080318909e+00 4.462071140836444405e-01 
9.657771054015019274e+01 9.772406126902860706e+03 3.276573182501746000e+16 3.749889853102962009e+34 5.201392318998788317e-02 1.614519578771383097e-07 5.202293732785074826e+04 1.126368979203075869e+06 1.951520897018901678e+03 1.639942300260584587e-02 3.957262802223245757e+01 5.092994042578920855e+00 5.750213663033240108e-01 1.147466560433589855e+00 4.461384203738311127e-01 
9.540111884896572292e+01 9.727512751594169458e+03 3.216777913722624000e+16 3.681456871701584606e+34 5.172108894879035024e-02 1.600036878478591856e-07 5.170714607776758203e+04 1.109489141512534348e+06 1.940034002885638984e+03 1.624833954891361995e-02 3.981706272285440207e+01 5.067317620934860933e+00 5.764024521568245074e-01 1.147378035730516332e+00 4.460657998390814005e-01 
9.423845746798842526e+01 9.682825611589285472e+03 3.158073868599796000e+16 3.614272746433821529e+34 5.142777310655780726e-02 1.585684759984277749e-07 5.139331478527186118e+04 1.092863641496514436e+06 1.928642968635901298e+03 1.609868164423620268e-02 4.006295392779433939e+01 5.041341811723194510e+00 5.778080681256664297e-01 1.147287145183931045e+00 4.459891920417027311e-01 
9.308955753935829591e+01 9.638343759465578842e+03 3.100441133031513200e+16 3.548314686510661211e+34 5.113395252383717143e-02 1.571462216509866198e-07 5.108143614785973477e+04 1.076488855203869520e+06 1.917352621522185700e+03 1.595043853696866132e-02 4.031030436480128287e+01 5.015062277405896829e+00 5.792388238506388509e-01 1.147193882003685994e+00 4.459083152179529330e-01 
9.195425270564676623e+01 9.594066252152739253e+03 3.043860156335011600e+16 3.483560317059689048e+34 5.083959855037548797e-02 1.557368260967087072e-07 5.077150321953774983e+04 1.060361222386544803e+06 1.906170213852253937e+03 1.580359971967107771e-02 4.055911626888580201e+01 4.988473613070136814e+00 5.806954077339867570e-01 1.147098252332512391e+00 4.458228708682530073e-01 
