# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 0.5, structure = BellLin, mu = 0.62
1.516716888470924139e+09 5.105992981252099980e+02 2.529521665150286026e+03 1.398102092011871642e+19 3.193185060348483385e+05 1.836854116740696245e+37 7.613170631130285193e-02 1.615466693679217487e-05 1.620035207335899817e+06 3.509659280830467701e+09 1.473612447557766700e+03 4.949514774867298073e+00 1.065400975487096114e+00 3.946515637736812021e+00 6.780165783976911387e-01 1.286385545031042632e+00 3.813478595323680498e-01 
1.570290124729377508e+09 5.286346065204634215e+02 2.532406957018911271e+03 1.398102092011871642e+19 3.112236059818099020e+05 1.871682809414839240e+37 7.567113867898229984e-02 1.578141825343676432e-05 1.586389862190878252e+06 3.357364171287962437e+09 1.503525351705961384e+03 4.757414832423140005e+00 1.086814040769296774e+00 3.974078252461052951e+00 6.752231187894620623e-01 1.283780757509414006e+00 3.822173814468247666e-01 
1.625755666443793535e+09 5.473069552526429788e+02 2.534481450599945674e+03 1.398102092011871642e+19 3.033319033278854331e+05 1.907121271086484212e+37 7.522279215080304726e-02 1.540921237681720023e-05 1.553305813429939561e+06 3.209814274307766914e+09 1.533534483357582531e+03 4.573805968158144886e+00 1.108651149131655966e+00 4.001548019458818217e+00 6.724716102570121867e-01 1.281216555613872599e+00 3.830890999397112973e-01 
1.683180353330955029e+09 5.666388457607024520e+02 2.535746900431271570e+03 1.398102092011871642e+19 2.956383881447208114e+05 1.943180177385455612e+37 7.478644703197742660e-02 1.503842561064278559e-05 1.520776522295917151e+06 3.066975217559310436e+09 1.563618005487208848e+03 4.398262045170397982e+00 1.130915583746242570e+00 4.028923405982188122e+00 6.697611946797359384e-01 1.278691765194498231e+00 3.839627330293773899e-01 
1.742633386009647131e+09 5.866535742758965171e+02 2.536205717001637822e+03 1.398102092011871642e+19 2.881381698256448144e+05 1.979870390846905142e+37 7.436188952035455157e-02 1.466941840086627535e-05 1.488795501268684864e+06 2.928804877048044205e+09 1.593753388690605334e+03 4.230381385378560566e+00 1.153610482239652679e+00 4.056202434166368498e+00 6.670910885615940478e-01 1.276205319085847112e+00 3.848379825415995659e-01 
1.804186409392075539e+09 6.073752598953120696e+02 2.535860978598964721e+03 1.398102092011871642e+19 2.808264744463129900e+05 2.017202964183587303e+37 7.394890770853015938e-02 1.430253550827425436e-05 1.457356315549560590e+06 2.795253999591534615e+09 1.623917596415588605e+03 4.069785144162643142e+00 1.176738833562447573e+00 4.083382299008890826e+00 6.644606092863878377e-01 1.273756248194320317e+00 3.857145350118564298e-01 
1.867913599020784616e+09 6.288288736469959304e+02 2.534716446615279438e+03 1.398102092011871642e+19 2.736986421733403113e+05 2.055189143615406384e+37 7.354729505024777680e-02 1.393810618113615534e-05 1.426452584016281413e+06 2.666266796173271656e+09 1.654086985693395036e+03 3.916115807543606220e+00 1.200303475814557208e+00 4.110459791600466595e+00 6.618691361293730369e-01 1.271343674861898698e+00 3.865920635938537298e-01 
1.933891750455232143e+09 6.510402685817425663e+02 2.532776576822061088e+03 1.398102092011871642e+19 2.667501247206315747e+05 2.093840372257305457e+37 7.315685018702111631e-02 1.357644432365058239e-05 1.396077979852992110e+06 2.541781506757337570e+09 1.684237424317608657e+03 3.769035804035826942e+00 1.224307094625735948e+00 4.137431339072471737e+00 6.593161035864164576e-01 1.268966805591298819e+00 3.874702295400693774e-01 
2.002200371815584421e+09 6.740362109277522222e+02 2.530046528198204669e+03 1.398102092011871642e+19 2.599764828531056992e+05 2.133168293566416584e+37 7.277737578941889662e-02 1.321784866101465803e-05 1.366226230833296897e+06 2.421730937717230320e+09 1.714344289367448937e+03 3.628226220855960360e+00 1.248752222186811922e+00 4.164292931134478515e+00 6.568010038678652185e-01 1.266624923833687744e+00 3.883486835841114537e-01 
2.072921779595369816e+09 6.978444123457437627e+02 2.526532169330048418e+03 1.398102092011871642e+19 2.533733839374455274e+05 2.173184754849589552e+37 7.240867663737980686e-02 1.286260290184429844e-05 1.336891119278407423e+06 2.306042973046811104e+09 1.744382527912287742e+03 3.493385615589842619e+00 1.273641236960924239e+00 4.191039949946884668e+00 6.543233966354013997e-01 1.264317382883324070e+00 3.892270672520957708e-01 
