# t	 S	 P	 Q	 T	 rho	 varkappa	 tau	 grad
# S, P, Q, T -- normalised values, rho -- in g/cm^3, varkappa -- in cm^2/g 
# t = 1 - z/z0 
# M = 2.011658e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, Teff = 10000.0 K, Mdot = 1.803440e+16 g/s, F = 2.907351e+34 g*cm^2/s^2, structure = BellLin, mu = 0.62
# varkappa_c = 3.465117e+01 cm^2/g, rho_c = 3.881270e-08 g/cm^3, T_c = 3.103500e+04 K, P_c = 1.615356e+05 dyn, Sigma0 = 1.248972e+01 g/cm^2, PradPgas_c = 1.448334e-02, z0r = 2.491814e-02, tau = 2.233923e+02
# Sigma_norm = 1.953974e+01, P_norm = 1.856958e+05, T_norm = 1.236102e+05, Q_norm = 5.670374e+11
# Pi1 = 3.926066, Pi2 = 0.645704, Pi3 = 1.139657, Pi4 = 0.437356
0.000000000000000000e+00 0.000000000000000000e+00 4.173783544597228085e-02 1.000000000000000000e+00 8.089946867751221515e-02 5.779489606312383732e-09 1.794581400702675467e+01 6.666666666666666297e-01 9.542516673761147761e-02
1.010101010101010187e-02 1.538358393273748939e-03 4.705708810818573506e-02 9.991003968938422242e-01 8.598968428926245799e-02 6.130331064785260143e-09 3.369003749261805325e+01 1.057112125733031149e+00 8.070179273316923085e-01
2.020202020202020374e-02 3.133062221098778435e-03 5.247115122508952401e-02 9.980907111704337975e-01 9.480609611601568953e-02 6.199969640693464068e-09 6.289389198355308963e+01 1.773956654556744894e+00 8.730003846696492431e-01
3.030303030303030387e-02 4.744166730663037200e-03 5.787583799161657994e-02 9.969701084756757981e-01 1.023425819191319114e-01 6.334993256200377604e-09 5.313109449402325168e+01 2.754848601428661059e+00 6.643194999504642428e-01
4.040404040404040747e-02 6.406123820166070154e-03 6.340369585757389681e-02 9.957374626548677332e-01 1.079774496338181955e-01 6.577892056722677733e-09 4.828126740137265216e+01 3.497141996228191996e+00 5.234542739031614600e-01
5.050505050505051108e-02 8.137725029788411488e-03 6.910851172238295648e-02 9.943897766358906765e-01 1.126778599492786331e-01 6.870655674436334934e-09 4.535498830053869312e+01 4.360034821000015270e+00 4.609810794070648421e-01
6.060606060606060774e-02 9.948901242451457794e-03 7.501583883184433088e-02 9.929232275381911776e-01 1.168189149469216204e-01 7.193579304079252434e-09 4.340431543963897809e+01 5.071343474436047494e+00 4.173559593944717871e-01
7.070707070707071829e-02 1.184613850505999121e-02 8.113998588113721655e-02 9.913335685307300693e-01 1.205868687336183187e-01 7.537722477561303416e-09 4.202171030994812639e+01 5.934513172173152995e+00 3.889847907502792523e-01
8.080808080808081495e-02 1.383422875556183061e-02 8.748958149031205167e-02 9.896163071260494215e-01 1.240876767029957528e-01 7.898287163015988394e-09 4.099993861232213987e+01 6.667994980165071084e+00 3.683702349951694099e-01
9.090909090909091161e-02 1.591699507506856223e-02 9.406990579567077460e-02 9.877667914175195518e-01 1.273870921122570721e-01 8.272380819248539355e-09 4.022158328100413627e+01 7.566027212362217647e+00 3.531822638973232675e-01
1.010101010101010222e-01 1.809766830811191871e-02 1.008841007224157565e-01 9.857803080230734816e-01 1.305291174457438030e-01 8.658059365979511864e-09 3.961421268427521625e+01 8.344074827720659115e+00 3.416513103849528332e-01
1.111111111111111188e-01 2.037904912455371434e-02 1.079337376563515721e-01 9.836520734168594515e-01 1.335441797799530317e-01 9.053937358514810538e-09 3.913095799079238191e+01 9.293408495259551927e+00 3.326140078904776254e-01
1.212121212121212155e-01 2.276360241691715441e-02 1.152191056357123738e-01 9.813772081044098705e-01 1.364531924828864262e-01 9.459017581525908192e-09 3.874097158725366796e+01 1.012827270311634820e+01 3.255423220969689835e-01
1.313131313131313260e-01 2.525361887942591602e-02 1.227397392594267445e-01 9.789510407467370001e-01 1.392736503838206408e-01 9.872371089529066220e-09 3.842066354331382882e+01 1.113865681427177101e+01 3.198778519862249814e-01
1.414141414141414366e-01 2.785110172744965917e-02 1.304941126207989355e-01 9.763686030416557360e-01 1.420161841130677116e-01 1.029338728088341032e-08 3.815543907049499239e+01 1.203817018242787462e+01 3.152398569748322554e-01
1.515151515151515194e-01 3.055797520038800244e-02 1.384802929610642608e-01 9.736252548226805859e-01 1.446912635070860820e-01 1.072138516759418791e-08 3.793244369838618724e+01 1.311613425239021424e+01 3.116144208537976468e-01
1.616161616161616299e-01 3.337594203333389686e-02 1.466954283585346352e-01 9.707163459098335778e-01 1.473061640673548889e-01 1.115580445460590590e-08 3.774279219979558064e+01 1.408578092378584579e+01 3.084658540937710303e-01
1.717171717171717404e-01 3.630659893412736122e-02 1.551363646302314492e-01 9.676368358229209266e-01 1.498650855359419942e-01 1.159627159064121962e-08 3.758111246925885496e+01 1.523600889116498713e+01 3.059326522885946198e-01
1.818181818181818232e-01 3.935145514292943958e-02 1.637993594562044131e-01 9.643826372047787920e-01 1.523749185456194088e-01 1.204214761304537144e-08 3.744014975607699824e+01 1.627984728866839959e+01 3.039999009578650546e-01
1.919191919191919338e-01 4.251181348534335130e-02 1.726799926746652725e-01 9.609490745412718748e-01 1.548383864112366781e-01 1.249305404067899430e-08 3.731664117168993045e+01 1.750585098012015806e+01 3.021622860691737245e-01
2.020202020202020443e-01 4.578895141068839436e-02 1.817737912517630172e-01 9.573312889912223289e-01 1.572572608904367619e-01 1.294868876848104615e-08 3.720841417149381414e+01 1.862689681157432986e+01 3.006939331480428246e-01
