# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
1.000000000000000000e+09 3.366477303750272768e+03 2.250748701134425573e+04 1.398102092011871488e+18 1.397238580973638745e+05 4.955583040057713573e+35 1.335061934575298703e-01 1.531879816890068002e-04 1.804992664548187517e+06 3.708024807896630859e+10 6.571749214721799945e+04 7.219197186760836216e-01 5.589613743878048879e+00 5.708312099106363391e+00 5.502637517382776844e-01 1.189441137814771343e+00 4.235070005316726727e-01 
1.035321843295661569e+09 3.485387487531741499e+03 2.219212072084650572e+04 1.398102092011871488e+18 1.361512100385763042e+05 5.045013386226058613e+35 1.334776718923268157e-01 1.461807384883219126e-04 1.759240394820799353e+06 3.448719206075598145e+10 6.582301931846899970e+04 7.004428214987782342e-01 5.681564037349660978e+00 5.725954220816423579e+00 5.492811040231310171e-01 1.188493532099126337e+00 4.240560429037642520e-01 
1.071891319205126405e+09 3.608497798190996946e+03 2.187714950503949149e+04 1.398102092011871488e+18 1.326696011411550571e+05 5.136009448714552695e+35 1.334577470147007283e-01 1.394544906207472726e-04 1.714534756674486212e+06 3.206426526274184036e+10 6.591111453371909738e+04 6.796630365176972166e-01 5.774480429039542173e+00 5.743301154498565708e+00 5.483195019632172151e-01 1.187564620113564340e+00 4.245955565730616388e-01 
1.109752496412069798e+09 3.735956591951439350e+03 2.156274074805197233e+04 1.398102092011871488e+18 1.292767250316722348e+05 5.228598639556132689e+35 1.334462678883925335e-01 1.330005737154677729e-04 1.670856530384252779e+06 2.980129731906649780e+10 6.598194710120659147e+04 6.595553410801699989e-01 5.868367082644924793e+00 5.760352465878215256e+00 5.473786931118921339e-01 1.186654200237802215e+00 4.251255774168262169e-01 
1.148951000187310934e+09 3.867917465251757676e+03 2.124905685129537596e+04 1.398102092011871488e+18 1.259703331734084932e+05 5.322808850704377948e+35 1.334430869638274786e-01 1.268104248715796372e-04 1.628186675009069266e+06 2.768864156940451813e+10 6.603570362647685397e+04 6.400956940055649858e-01 5.963228432766650933e+00 5.777108068811657837e+00 5.464584143529793714e-01 1.185762063470860106e+00 4.256461488099465007e-01 
1.189534067370320797e+09 4.004539439839933038e+03 2.093625512794509632e+04 1.398102092011871488e+18 1.227482334423746215e+05 5.418668462435738078e+35 1.334480574579947343e-01 1.208755924997868337e-04 1.586506331677238690e+06 2.571715492510585403e+10 6.607258656462958606e+04 6.212609950476436493e-01 6.059069189941459932e+00 5.793567989680001418e+00 5.455584032719772436e-01 1.184887994073800188e+00 4.261573211803349470e-01 
1.231550603292826176e+09 4.145987154405255751e+03 2.062448771389371905e+04 1.398102092011871488e+18 1.196082887371872639e+05 5.516206351899000399e+35 1.334610353539917860e-01 1.151877454162398624e-04 1.545796826867424650e+06 2.387817797622236633e+10 6.609281349230327760e+04 6.030290460749265780e-01 6.155894344777729899e+00 5.809732530086179736e+00 5.446783905793473046e-01 1.184031770204297063e+00 4.266591515519012612e-01 
1.275051240713012934e+09 4.292431062978984301e+03 2.031390149542915242e+04 1.398102092011871488e+18 1.165484156220582518e+05 5.615451901814318449e+35 1.334818800293564034e-01 1.097386812115390669e-04 1.506039675680273678e+06 2.216351538444608307e+10 6.609661632629728410e+04 5.853785138188831727e-01 6.253709171959961566e+00 5.825602312982215203e+00 5.438180981487489296e-01 1.183193164536707975e+00 4.271517031275723353e-01 
1.320088400831416845e+09 4.444047640342957493e+03 2.000463805216143373e+04 1.398102092011871488e+18 1.135665830021569273e+05 5.716435009324591407e+35 1.335104516153196030e-01 1.045203338946881116e-04 1.467216585077183554e+06 2.056541659721752930e+10 6.608424065498870914e+04 5.682888941495501944e-01 6.352519234021489325e+00 5.841178043661808594e+00 5.429772503159397967e-01 1.182371944829669230e+00 4.276350448851857222e-01 
1.366716356462004423e+09 4.601019594693605541e+03 1.969683361496397265e+04 1.398102092011871488e+18 1.106608108306267823e+05 5.819186095001809449e+35 1.335466130037275823e-01 9.952478080779262627e-05 1.429309457052116515e+06 1.907655691374621201e+10 6.605594469699636102e+04 5.517404778724266379e-01 6.452330384335325242e+00 5.856460675034226959e+00 5.421555662087583771e-01 1.181567874489321213e+00 4.281092511706518500e-01 
