# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 0.5, r = 1.000000e+10 cm, r = 3366.4773037502728 rg, structure = BellLin, mu = 0.62
1.051671531625479439e+01 1.000000000000000000e+04 3.668230432466068000e+15 1.300206946403600972e+34 1.151028711170120830e-02 7.085473930643576904e-08 3.313290226854656794e+04 3.148262087849056697e+05 2.906140301972354223e+02 9.653766912024790148e-03 5.352773115359416778e+01 3.942154017694631474e+00 6.447555080751653511e-01 1.139966144593470787e+00 4.379175113512749351e-01 
1.038524942612757940e+01 9.954061083088736268e+03 3.601287680866792000e+15 1.276479039380531251e+34 1.141824625670058956e-02 7.023317321908688155e-08 3.293592128431377932e+04 3.102091490694077802e+05 2.889939497071978280e+02 9.566529874696833025e-03 5.385296439653893685e+01 3.902898653231677617e+00 6.475081512255609351e-01 1.139725780493460183e+00 4.374412805224234813e-01 
1.025532441432456210e+01 9.908333204586158899e+03 3.535566589704101000e+15 1.253184150788293005e+34 1.132587622236579973e-02 6.961835909759804824e-08 3.274039564760170833e+04 3.056681592457992374e+05 2.874084664594545302e+02 9.480151153211609227e-03 5.418002260949366899e+01 3.863270683476472289e+00 6.503150634678922515e-01 1.139484928316342405e+00 4.369448049384828114e-01 
1.012692428958184543e+01 9.862815395004698075e+03 3.471044864492265000e+15 1.230314378330193858e+34 1.123317114435552766e-02 6.901029633210476624e-08 3.254633092333042805e+04 3.012023970504396129e+05 2.856851340676653876e+02 9.394625886128488493e-03 5.450890561225030240e+01 3.823269841163815297e+00 6.531776253265622056e-01 1.139244278089766915e+00 4.364271660745998593e-01 
1.000003156274079608e+01 9.817506689310463116e+03 3.407700617604948500e+15 1.207861963921150179e+34 1.114013492601647476e-02 6.840899066838382953e-08 3.235372644972548369e+04 2.968109968467195285e+05 2.839407890391434535e+02 9.309942949726576766e-03 5.483964441774364929e+01 3.782903517080640210e+00 6.560965309035221571e-01 1.139004118592547243e+00 4.358879506082893318e-01 
9.874631816586708410e+00 9.772406126902860706e+03 3.345512360850403500e+15 1.185819291055958589e+34 1.104675820896408069e-02 6.781445820492231833e-08 3.216258575051091248e+04 2.924931832725486020e+05 2.822232432788790106e+02 9.226093461288947459e-03 5.517226204856050487e+01 3.742169825577612130e+00 6.590733806804567330e-01 1.138765224886594929e+00 4.353265741201316485e-01 
9.750712880073550082e+00 9.727512751594169458e+03 3.284458998181975000e+15 1.164178882225529005e+34 1.095302338750514873e-02 6.722672344448906046e-08 3.197291516299116847e+04 2.882482475567497895e+05 2.805342117617629469e+02 9.143069814585192898e-03 5.550677744771715538e+01 3.701061283506319466e+00 6.621104052068602641e-01 1.138528737166738969e+00 4.347423542852673628e-01 
9.628250795526250627e+00 9.682825611589285472e+03 3.224519818541743000e+15 1.142933396380309058e+34 1.085897134451151679e-02 6.664576859433321959e-08 3.178470938000944079e+04 2.840752001016201684e+05 2.788728045823532966e+02 9.060860174318646765e-03 5.584322619148433375e+01 3.659611571400372743e+00 6.652059583681949606e-01 1.138293996440255418e+00 4.341348326322014284e-01 
9.507246736060253056e+00 9.638343759465578842e+03 3.165674488834778000e+15 1.122075626440003164e+34 1.076452919996179376e-02 6.607168110297564021e-08 3.159798330316656939e+04 2.799736877783272066e+05 2.772445671830944320e+02 8.979455728488548033e-03 5.618164493278600702e+01 3.617775516758634957e+00 6.683660356501182065e-01 1.138064019881281030e+00 4.335035695674548384e-01 
9.387663332164056129e+00 9.594066252152739253e+03 3.107903047031484000e+15 1.101598496848693405e+34 1.066979679846100787e-02 6.550438333848969349e-08 3.141272446352955376e+04 2.759424163752796012e+05 2.756450536750751326e+02 8.898846735101493752e-03 5.652205354083385203e+01 3.575627677841444196e+00 6.715850184534666312e-01 1.137836262056401093e+00 4.328477334520030584e-01 
