# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+01 Msun, alpha = 0.1, structure = BellLin, mu = 0.62
1.683180353330955029e+09 5.666388457607024520e+02 9.110816312279788690e+03 1.398102092011871642e+19 2.956383881447208114e+05 1.943180177385455612e+37 9.059518413353383204e-02 4.593283299374087918e-05 2.177425635873093735e+06 1.341247913930750656e+10 6.583800258791860870e+03 4.226628118028405545e+00 1.324818417225216649e+00 4.264890274124877756e+00 6.503816770793309221e-01 1.273775296409555446e+00 3.845518456466112123e-01 
1.742633386009647131e+09 5.866535742758965171e+02 9.104725788643812848e+03 1.398102092011871642e+19 2.881381698256448144e+05 1.979870390846905142e+37 9.010937956089315470e-02 4.474248423664406839e-05 2.131415358859119937e+06 1.278882605067707634e+10 6.707429502483149918e+03 4.069784878965205799e+00 1.351908223766059125e+00 4.292097409177785039e+00 6.479488919077619480e-01 1.271516957898696898e+00 3.854039542957791720e-01 
1.804186409392075539e+09 6.073752598953120696e+02 9.096001470813402193e+03 1.398102092011871642e+19 2.808264744463129900e+05 2.017202964183587303e+37 8.963668939798502544e-02 4.356389670711084336e-05 2.086197463538844138e+06 1.218778061754993057e+10 6.831172754478728166e+03 3.919465032474565902e+00 1.379511853872312566e+00 4.319267902246913593e+00 6.455451036993435920e-01 1.269285717508313205e+00 3.862582547626192131e-01 
1.867913599020784616e+09 6.288288736469959304e+02 9.084655722203595360e+03 1.398102092011871642e+19 2.736986421733403113e+05 2.055189143615406384e+37 8.917690295547811563e-02 4.239781043162554343e-05 2.041761927721589804e+06 1.160889880993342018e+10 6.954933382820659972e+03 3.775366780389070254e+00 1.407632865324471849e+00 4.346396833811019711e+00 6.431701492812572640e-01 1.267081189403645114e+00 3.871143889523442350e-01 
1.933891750455232143e+09 6.510402685817425663e+02 9.070703184905594753e+03 1.398102092011871642e+19 2.667501247206315747e+05 2.093840372257305457e+37 8.872981342002116134e-02 4.124492607983956368e-05 1.998098846997334855e+06 1.105172307915453529e+10 7.078612734643847034e+03 3.637203939100780659e+00 1.436274634729032051e+00 4.373478886228178375e+00 6.408239014236342124e-01 1.264903043345502853e+00 3.879719886778639215e-01 
2.002200371815584421e+09 6.740362109277522222e+02 9.054160818714248308e+03 1.398102092011871642e+19 2.599764828531056992e+05 2.133168293566416584e+37 8.829521779002347248e-02 4.010590554025964883e-05 1.955198433330403641e+06 1.051578414187886429e+10 7.202110400606927215e+03 3.504705013693349969e+00 1.465440356575962833e+00 4.400508385160460278e+00 6.385062636991994944e-01 1.262750999545387387e+00 3.888306771166354925e-01 
2.072921779595369816e+09 6.978444123457437627e+02 9.035047931418646840e+03 1.398102092011871642e+19 2.533733839374455274e+05 2.173184754849589552e+37 8.787291459596688337e-02 3.898137246625795529e-05 1.913051013271216070e+06 1.000060266024982643e+10 7.325323993011447783e+03 3.377612335625653550e+00 1.495133043168440867e+00 4.427479118097708444e+00 6.362171815031203437e-01 1.260624823430437136e+00 3.896900702276093198e-01 
2.146141197858401537e+09 7.224935633233732233e+02 9.013386204760159671e+03 1.398102092011871642e+19 2.469365995394851197e+05 2.213901810832325060e+37 8.746270592571278590e-02 3.787191279839135371e-05 1.871647025781836128e+06 9.505690824499746323e+09 7.448149632235241370e+03 3.255681258687910695e+00 1.525355525567354764e+00 4.454384577564054482e+00 6.339566224070326550e-01 1.258524320860695322e+00 3.905497783935703571e-01 
2.221946860939519405e+09 7.480133677492055995e+02 8.989199711044282594e+03 1.398102092011871642e+19 2.406620030678136682e+05 2.255331727290190020e+37 8.706439771948561168e-02 3.677807526623206853e-05 1.830977019744629972e+06 9.030553843612691879e+09 7.570482218293740516e+03 3.138679409044656143e+00 1.556110455512262014e+00 4.481218040102780797e+00 6.317245690738022557e-01 1.256449333251012712e+00 3.914094080442850343e-01 
2.300430119772921562e+09 7.744345787079062120e+02 8.962514919911138350e+03 1.398102092011871642e+19 2.345455674631457950e+05 2.297486984743812900e+37 8.667779802036365555e-02 3.570037187386502174e-05 1.791031651192838792e+06 8.574691349309276581e+09 7.692215782608847803e+03 3.026385985311700111e+00 1.587400308319735220e+00 4.507972434842613119e+00 6.295210271227951182e-01 1.254399732596756412e+00 3.922685632387599153e-01 
