# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.5, structure = BellLin, mu = 0.62
1.000000000000000000e+09 1.683238651875136384e+03 1.559134706366040518e+03 2.796204184023742976e+18 1.969667142622084357e+05 1.383785721104906527e+36 7.845210702247160106e-02 1.643909246674246701e-05 1.068387024553329218e+06 2.355314679225030899e+09 2.007016426668459189e+03 1.395067595967527163e+00 2.430006250998949735e+00 4.788351945713982261e+00 6.044650469996476483e-01 1.214656678334498086e+00 4.103167511542802903e-01 
1.035321843295661569e+09 1.742693743765870749e+03 1.544675695178711294e+03 2.796204184023742976e+18 1.919413835677254829e+05 1.409080442792705637e+36 7.828825778437806249e-02 1.580369297401710849e-05 1.042919311648041243e+06 2.210302875758158684e+09 2.022848092793511341e+03 1.349835416722276582e+00 2.474140804707761543e+00 4.808979712118809147e+00 6.029436536751796583e-01 1.213201119872334921e+00 4.110594607507163101e-01 
1.071891319205126405e+09 1.804248899095498473e+03 1.529968235123261366e+03 2.796204184023742976e+18 1.870436310146067117e+05 1.434818015931461214e+36 7.813188086989589221e-02 1.518702516823544324e-05 1.017972861747580464e+06 2.073248732207601309e+09 2.038117857714892125e+03 1.306240553828713180e+00 2.518830625703312176e+00 4.829344859940141177e+00 6.014515838263060354e-01 1.211770215858106070e+00 4.117935629380468643e-01 
1.109752496412069798e+09 1.867978295975719675e+03 1.515025647716564890e+03 2.796204184023742976e+18 1.822702456654217967e+05 1.461006193814923565e+36 7.798284240359468211e-02 1.458887312268211045e-05 9.935400007761341985e+05 1.943791146739465714e+09 2.052815629219663151e+03 1.264216918593280781e+00 2.564075951551564980e+00 4.849442589492594990e+00 5.999886717203030129e-01 1.210363854024163910e+00 4.125188848896678695e-01 
1.148951000187310934e+09 1.933958732625878838e+03 1.499861284298742476e+03 2.796204184023742976e+18 1.776180961563446617e+05 1.487652865478900164e+36 7.784101188262385063e-02 1.400900385054768074e-05 9.696130923374842387e+05 1.821579882145988226e+09 2.066932236673716034e+03 1.223701332792603624e+00 2.609877062477452547e+00 4.869268581315550293e+00 5.985547259742495241e-01 1.208981909705713731e+00 4.132352686955308441e-01 
1.189534067370320797e+09 2.002269719919966519e+03 1.484488500283704070e+03 2.796204184023742976e+18 1.730841287815277756e+05 1.514766058077761204e+36 7.770625805641634409e-02 1.344716841158520453e-05 9.461845374893529806e+05 1.706275622622429609e+09 2.080459406608823429e+03 1.184633392541357466e+00 2.656234289837251961e+00 4.888818485367797173e+00 5.971495612553882060e-01 1.207624245498635895e+00 4.139425704984525667e-01 
1.231550603292826176e+09 2.072993577202627876e+03 1.468920632103439630e+03 2.796204184023742976e+18 1.686653656209420878e+05 1.542353939302600257e+36 7.757845216421568879e-02 1.290310302352592003e-05 9.232467746021230705e+05 1.597549999909046888e+09 2.093389718284583978e+03 1.146955338578764083e+00 2.703148024761660384e+00 4.908088323698830635e+00 5.957729742853410393e-01 1.206290712368638829e+00 4.146406604442736676e-01 
1.275051240713012934e+09 2.146215531489492150e+03 1.453170978070369983e+03 2.796204184023742976e+18 1.643589027108373703e+05 1.570424819841684016e+36 7.745746944127572531e-02 1.237652937254871920e-05 9.007922902497939067e+05 1.495085511556787491e+09 2.105716685280665843e+03 1.110612045068021692e+00 2.750618497708380517e+00 4.927074364920806637e+00 5.944247731580636351e-01 1.204981232083785159e+00 4.153293690321996356e-01 
1.320088400831416845e+09 2.222023820171478746e+03 1.437252773100973400e+03 2.796204184023742976e+18 1.601619082559693197e+05 1.598987155884005742e+36 7.734318404685734671e-02 1.186715619890257565e-05 8.788136153120150557e+05 1.398575548149637938e+09 2.117434732701856319e+03 1.075550846218060075e+00 2.798645847704010148e+00 4.945772604705588549e+00 5.931047999704799345e-01 1.203695764248752020e+00 4.160085030393138594e-01 
1.366716356462004423e+09 2.300509797346802770e+03 1.421179151999089981e+03 2.796204184023742976e+18 1.560716208827595983e+05 1.628049551666662261e+36 7.723547266281456658e-02 1.137468342505971331e-05 8.573032820504613919e+05 1.307724620712620497e+09 2.128539172265662728e+03 1.041720990990042228e+00 2.847231073300164006e+00 4.964180504290705009e+00 5.918127444313276975e-01 1.202433981787779382e+00 4.166780631043071614e-01 
